date,price
2011-10,5.37
2011-11,5.46
2011-12,5.54
2012-01,5.63
2012-02,5.79
2012-03,5.93
2012-04,5.93
2012-05,5.70
2012-06,5.95
2012-07,6.10
2012-08,6.13
2012-09,6.21
2012-10,6.15
2012-11,6.18
2012-12,6.17
2013-01,6.51
2013-02,6.65
2013-03,6.97
2013-04,7.18
2013-05,7.28
2013-06,7.22
2013-07,7.55
2013-08,7.28
2013-09,7.48
2013-10,7.85
2013-11,8.05
2013-12,8.20
2014-01,7.84
2014-02,8.14
2014-03,8.30
2014-04,8.45
2014-05,8.56
2014-06,8.68
2014-07,8.53
2014-08,8.82
2014-09,8.80
2014-10,8.98
2014-11,9.24
2014-12,9.16
2015-01,8.88
2015-02,9.34
2015-03,9.12
2015-04,9.19
2015-05,9.24
2015-06,8.93
2015-07,8.99
2015-08,8.52
2015-09,8.45
2015-10,9.20
2015-11,9.22
2015-12,9.13
2016-01,8.92
2016-02,8.99
2016-03,9.57
2016-04,9.55
2016-05,9.68
2016-06,9.97
2016-07,10.25
2016-08,10.22
2016-09,10.23
2016-10,10.08
2016-11,10.40
2016-12,10.64
2017-01,10.58
2017-02,10.95
2017-03,10.96
2017-04,10.99
2017-05,11.18
2017-06,11.17
2017-07,11.35
2017-08,11.35
2017-09,11.68
2017-10,12.10
2017-11,12.61
2017-12,12.85
2018-01,13.44
2018-02,12.68
2018-03,12.38
2018-04,12.24
2018-05,12.46
2018-06,12.55
2018-07,13.12
2018-08,13.42
2018-09,13.58
2018-10,12.78
2018-11,13.21
2018-12,12.14
2019-01,12.87
2019-02,13.39
2019-03,13.60
2019-04,14.04
2019-05,12.97
2019-06,13.92
2019-07,14.15
2019-08,13.96
2019-09,14.49
2019-10,14.69
2019-11,15.11
2019-12,15.45
2020-01,15.18
2020-02,13.76
2020-03,12.12
2020-04,13.65
2020-05,14.16
2020-06,14.07
2020-07,14.81
2020-08,15.57
2020-09,15.18
2020-10,15.24
2020-11,17.25
2020-12,17.77
2021-01,17.61
2021-02,18.68
2021-03,20.35
2021-04,20.80
2021-05,21.47
2021-06,21.26
2021-07,21.39
2021-08,21.84
2021-09,21.03
2021-10,21.96
2021-11,21.51
2021-12,23.08
2022-01,22.45
2022-02,22.02
2022-03,22.68
2022-04,21.74
2022-05,22.59
2022-06,20.79
2022-07,21.61
2022-08,21.02
2022-09,19.46
2022-10,21.64
2022-11,23.12
2022-12,22.33
2023-01,22.80
2023-02,22.04
2023-03,21.81
2023-04,21.63
2023-05,20.74
2023-06,21.85
2023-07,22.76
2023-08,22.42
2023-09,21.48
2023-10,20.66
2023-11,21.96
2023-12,23.35
2024-01,23.38
2024-02,23.81
2024-03,24.92
2024-04,23.79
2024-05,24.28
2024-06,24.29
2024-07,25.79
2024-08,26.40
2024-09,26.64
2024-10,26.69
2024-11,27.92
2024-12,26.07
2025-01,26.56
2025-02,27.23
2025-03,26.92
2025-04,24.86
2025-05,25.20
2025-06,25.76
2025-07,25.76
2025-08,27.15
2025-09,26.80
2025-10,26.26
2025-11,27.08
2025-12,27.20
2026-01,29.57
2026-02,31.50
2026-03,30.68
2026-04,32.07
2026-05,32.50
