date,price
1995-01,250000
1995-02,253333
1995-03,256667
1995-04,260000
1995-05,263333
1995-06,266667
1995-07,270000
1995-08,273333
1995-09,276667
1995-10,280000
1995-11,283333
1995-12,286667
1996-01,290000
1996-02,294167
1996-03,298333
1996-04,302500
1996-05,306667
1996-06,310833
1996-07,315000
1996-08,319167
1996-09,323333
1996-10,327500
1996-11,331667
1996-12,335833
1997-01,340000
1997-02,331250
1997-03,322500
1997-04,313750
1997-05,305000
1997-06,296250
1997-07,287500
1997-08,278750
1997-09,270000
1997-10,261250
1997-11,252500
1997-12,243750
1998-01,235000
1998-02,237083
1998-03,239167
1998-04,241250
1998-05,243333
1998-06,245417
1998-07,247500
1998-08,249583
1998-09,251667
1998-10,253750
1998-11,255833
1998-12,257917
1999-01,260000
1999-02,261667
1999-03,263333
1999-04,265000
1999-05,266667
1999-06,268333
1999-07,270000
1999-08,271667
1999-09,273333
1999-10,275000
1999-11,276667
1999-12,278333
2000-01,280000
2000-02,278333
2000-03,276667
2000-04,275000
2000-05,273333
2000-06,271667
2000-07,270000
2000-08,268333
2000-09,266667
2000-10,265000
2000-11,263333
2000-12,261667
2001-01,260000
2001-02,259583
2001-03,259167
2001-04,258750
2001-05,258333
2001-06,257917
2001-07,257500
2001-08,257083
2001-09,256667
2001-10,256250
2001-11,255833
2001-12,255417
2002-01,255000
2002-02,254167
2002-03,253333
2002-04,252500
2002-05,251667
2002-06,250833
2002-07,250000
2002-08,249167
2002-09,248333
2002-10,247500
2002-11,246667
2002-12,245833
2003-01,245000
2003-02,246250
2003-03,247500
2003-04,248750
2003-05,250000
2003-06,251250
2003-07,252500
2003-08,253750
2003-09,255000
2003-10,256250
2003-11,257500
2003-12,258750
2004-01,260000
2004-02,261667
2004-03,263333
2004-04,265000
2004-05,266667
2004-06,268333
2004-07,270000
2004-08,271667
2004-09,273333
2004-10,275000
2004-11,276667
2004-12,278333
2005-01,280000
2005-02,283333
2005-03,286667
2005-04,290000
2005-05,293333
2005-06,296667
2005-07,300000
2005-08,303333
2005-09,306667
2005-10,310000
2005-11,313333
2005-12,316667
2006-01,320000
2006-02,328333
2006-03,336667
2006-04,345000
2006-05,353333
2006-06,361667
2006-07,370000
2006-08,378333
2006-09,386667
2006-10,395000
2006-11,403333
2006-12,411667
2007-01,420000
2007-02,417500
2007-03,415000
2007-04,412500
2007-05,410000
2007-06,407500
2007-07,405000
2007-08,402500
2007-09,400000
2007-10,397500
2007-11,395000
2007-12,392500
2008-01,390000
2008-02,390833
2008-03,391667
2008-04,392500
2008-05,393333
2008-06,394167
2008-07,395000
2008-08,395833
2008-09,396667
2008-10,397500
2008-11,398333
2008-12,399167
2009-01,400000
2009-02,410000
2009-03,420000
2009-04,430000
2009-05,440000
2009-06,450000
2009-07,460000
2009-08,470000
2009-09,480000
2009-10,490000
2009-11,500000
2009-12,510000
2010-01,520000
2010-02,528333
2010-03,536667
2010-04,545000
2010-05,553333
2010-06,561667
2010-07,570000
2010-08,578333
2010-09,586667
2010-10,595000
2010-11,603333
2010-12,611667
2011-01,620000
2011-02,625833
2011-03,631667
2011-04,637500
2011-05,643333
2011-06,649167
2011-07,655000
2011-08,660833
2011-09,666667
2011-10,672500
2011-11,678333
2011-12,684167
2012-01,690000
2012-02,692500
2012-03,695000
2012-04,697500
2012-05,700000
2012-06,702500
2012-07,705000
2012-08,707500
2012-09,710000
2012-10,712500
2012-11,715000
2012-12,717500
2013-01,720000
2013-02,718333
2013-03,716667
2013-04,715000
2013-05,713333
2013-06,711667
2013-07,710000
2013-08,708333
2013-09,706667
2013-10,705000
2013-11,703333
2013-12,701667
2014-01,700000
2014-02,698333
2014-03,696667
2014-04,695000
2014-05,693333
2014-06,691667
2014-07,690000
2014-08,688333
2014-09,686667
2014-10,685000
2014-11,683333
2014-12,681667
2015-01,680000
2015-02,677500
2015-03,675000
2015-04,672500
2015-05,670000
2015-06,667500
2015-07,665000
2015-08,662500
2015-09,660000
2015-10,657500
2015-11,655000
2015-12,652500
2016-01,650000
2016-02,651667
2016-03,653333
2016-04,655000
2016-05,656667
2016-06,658333
2016-07,660000
2016-08,661667
2016-09,663333
2016-10,665000
2016-11,666667
2016-12,668333
2017-01,670000
2017-02,674167
2017-03,678333
2017-04,682500
2017-05,686667
2017-06,690833
2017-07,695000
2017-08,699167
2017-09,703333
2017-10,707500
2017-11,711667
2017-12,715833
2018-01,720000
2018-02,721667
2018-03,723333
2018-04,725000
2018-05,726667
2018-06,728333
2018-07,730000
2018-08,731667
2018-09,733333
2018-10,735000
2018-11,736667
2018-12,738333
2019-01,740000
2019-02,740833
2019-03,741667
2019-04,742500
2019-05,743333
2019-06,744167
2019-07,745000
2019-08,745833
2019-09,746667
2019-10,747500
2019-11,748333
2019-12,749167
2020-01,750000
2020-02,756667
2020-03,763333
2020-04,770000
2020-05,776667
2020-06,783333
2020-07,790000
2020-08,796667
2020-09,803333
2020-10,810000
2020-11,816667
2020-12,823333
2021-01,830000
2021-02,838333
2021-03,846667
2021-04,855000
2021-05,863333
2021-06,871667
2021-07,880000
2021-08,888333
2021-09,896667
2021-10,905000
2021-11,913333
2021-12,921667
2022-01,930000
2022-02,940000
2022-03,950000
2022-04,960000
2022-05,970000
2022-06,980000
2022-07,990000
2022-08,1000000
2022-09,1010000
2022-10,1020000
2022-11,1030000
2022-12,1040000
2023-01,1050000
2023-02,1054167
2023-03,1058333
2023-04,1062500
2023-05,1066667
2023-06,1070833
2023-07,1075000
2023-08,1079167
2023-09,1083333
2023-10,1087500
2023-11,1091667
2023-12,1095833
2024-01,1100000
2024-02,1104167
2024-03,1108333
2024-04,1112500
2024-05,1116667
2024-06,1120833
2024-07,1125000
2024-08,1129167
2024-09,1133333
2024-10,1137500
2024-11,1141667
2024-12,1145833
2025-01,1150000
2025-02,1152500
2025-03,1155000
2025-04,1157500
2025-05,1160000
2025-06,1162500
2025-07,1165000
2025-08,1167500
2025-09,1170000
2025-10,1172500
2025-11,1175000
2025-12,1177500
2026-01,1180000
2026-02,1180000
2026-03,1180000
2026-04,1180000
2026-05,1180000
2026-06,1180000
