date,price
2006-04,13.81
2006-05,12.63
2006-06,11.14
2006-07,11.41
2006-08,12.91
2006-09,11.45
2006-10,12.27
2006-11,13.97
2006-12,12.86
2007-01,13.52
2007-02,14.12
2007-03,13.35
2007-04,13.34
2007-05,13.38
2007-06,12.35
2007-07,12.80
2007-08,12.00
2007-09,13.65
2007-10,14.36
2007-11,13.90
2007-12,14.70
2008-01,16.82
2008-02,19.67
2008-03,17.04
2008-04,16.72
2008-05,16.67
2008-06,17.26
2008-07,17.53
2008-08,13.37
2008-09,11.85
2008-10,9.58
2008-11,10.23
2008-12,11.20
2009-01,12.52
2009-02,12.88
2009-03,12.79
2009-04,12.21
2009-05,15.47
2009-06,13.38
2009-07,13.70
2009-08,14.62
2009-09,16.38
2009-10,16.07
2009-11,18.15
2009-12,16.54
2010-01,15.90
2010-02,16.07
2010-03,17.14
2010-04,18.26
2010-05,18.03
2010-06,18.21
2010-07,17.58
2010-08,18.93
2010-09,21.31
2010-10,24.17
2010-11,27.44
2010-12,30.18
2011-01,27.39
2011-02,33.11
2011-03,36.77
2011-04,46.88
2011-05,37.60
2011-06,33.84
2011-07,38.85
2011-08,40.45
2011-09,28.91
2011-10,33.44
2011-11,32.00
2011-12,26.94
2012-01,32.28
2012-02,33.55
2012-03,31.38
2012-04,30.11
2012-05,26.96
2012-06,26.65
2012-07,27.12
2012-08,30.79
2012-09,33.48
2012-10,31.27
2012-11,32.36
2012-12,29.37
2013-01,30.44
2013-02,27.54
2013-03,27.42
2013-04,23.46
2013-05,21.44
2013-06,18.97
2013-07,19.14
2013-08,22.60
2013-09,20.90
2013-10,21.10
2013-11,19.24
2013-12,18.71
2014-01,18.45
2014-02,20.35
2014-03,19.04
2014-04,18.46
2014-05,18.08
2014-06,20.25
2014-07,19.58
2014-08,18.71
2014-09,16.35
2014-10,15.50
2014-11,14.83
2014-12,15.06
2015-01,16.54
2015-02,15.87
2015-03,15.93
2015-04,15.43
2015-05,15.99
2015-06,15.03
2015-07,14.08
2015-08,13.99
2015-09,13.87
2015-10,14.80
2015-11,13.44
2015-12,13.19
2016-01,13.59
2016-02,14.20
2016-03,14.68
2016-04,16.98
2016-05,15.19
2016-06,17.86
2016-07,19.35
2016-08,17.72
2016-09,18.20
2016-10,16.97
2016-11,15.66
2016-12,15.11
2017-01,16.63
2017-02,17.37
2017-03,17.25
2017-04,16.30
2017-05,16.39
2017-06,15.71
2017-07,15.90
2017-08,16.65
2017-09,15.74
2017-10,15.79
2017-11,15.51
2017-12,15.99
2018-01,16.35
2018-02,15.46
2018-03,15.41
2018-04,15.38
2018-05,15.46
2018-06,15.15
2018-07,14.61
2018-08,13.65
2018-09,13.73
2018-10,13.41
2018-11,13.32
2018-12,14.52
2019-01,15.05
2019-02,14.63
2019-03,14.18
2019-04,14.02
2019-05,13.65
2019-06,14.33
2019-07,15.21
2019-08,17.15
2019-09,15.92
2019-10,16.92
2019-11,15.92
2019-12,16.68
2020-01,16.82
2020-02,15.53
2020-03,13.05
2020-04,13.98
2020-05,16.66
2020-06,17.01
2020-07,22.65
2020-08,26.23
2020-09,21.64
2020-10,21.99
2020-11,21.05
2020-12,24.57
2021-01,24.99
2021-02,24.66
2021-03,22.70
2021-04,24.01
2021-05,25.90
2021-06,24.22
2021-07,23.63
2021-08,22.14
2021-09,20.52
2021-10,22.09
2021-11,21.06
2021-12,21.51
2022-01,20.80
2022-02,22.62
2022-03,22.88
2022-04,21.04
2022-05,19.84
2022-06,18.64
2022-07,18.70
2022-08,16.58
2022-09,17.50
2022-10,17.62
2022-11,20.43
2022-12,22.02
2023-01,21.83
2023-02,19.22
2023-03,22.12
2023-04,23.00
2023-05,21.61
2023-06,20.89
2023-07,22.69
2023-08,22.39
2023-09,20.34
2023-10,20.98
2023-11,23.13
2023-12,21.78
2024-01,20.91
2024-02,20.73
2024-03,22.75
2024-04,24.05
2024-05,27.76
2024-06,26.57
2024-07,26.39
2024-08,26.35
2024-09,28.41
2024-10,29.81
2024-11,27.92
2024-12,26.33
2025-01,28.51
2025-02,28.31
2025-03,30.99
2025-04,29.60
2025-05,30.00
2025-06,32.81
2025-07,33.32
2025-08,36.19
2025-09,42.37
2025-10,44.01
2025-11,51.21
2025-12,64.42
2026-01,75.44
2026-02,84.99
2026-03,68.14
2026-04,66.66
2026-05,68.33
