date,price
2000-01,-234651.14
2000-02,-159100.62
2000-03,-218652.30
2000-04,-156434.12
2000-05,-156434.12
2000-06,-195542.64
2000-07,-154656.52
2000-08,-180432.53
2000-09,-141768.41
2000-10,-62129.24
2000-11,-60796.00
2000-12,-35775.42
2001-01,-59371.99
2001-02,-38058.97
2001-03,-32020.27
2001-04,-34354.55
2001-05,-44046.91
2001-06,-28366.60
2001-07,-13954.95
2001-08,-8423.71
2001-09,-9235.64
2001-10,-11316.19
2001-11,-21769.72
2001-12,-32192.58
2002-01,-33522.86
2002-02,-21483.90
2002-03,-19155.92
2002-04,-12704.10
2002-05,-9178.88
2002-06,-3458.71
2002-07,-6784.39
2002-08,-7116.96
2002-09,-5653.66
2002-10,-6318.79
2002-11,-5786.68
2002-12,3370.02
2003-01,2828.41
2003-02,2407.15
2003-03,1624.83
2003-04,1851.22
2003-05,2186.50
2003-06,3318.44
2003-07,4235.45
2003-08,4567.86
2003-09,3845.71
2003-10,4315.68
2003-11,3799.87
2003-12,3705.86
2004-01,5922.76
2004-02,5935.99
2004-03,8106.57
2004-04,7874.95
2004-05,7444.81
2004-06,8371.27
2004-07,5955.85
2004-08,6915.40
2004-09,6948.49
2004-10,8404.36
2004-11,6849.22
2004-12,8254.63
2005-01,9211.17
2005-02,10663.71
2005-03,9246.60
2005-04,8573.47
2005-05,11265.97
2005-06,12045.38
2005-07,16934.39
2005-08,15163.01
2005-09,16296.69
2005-10,13497.91
2005-11,15517.28
2005-12,25633.30
2006-01,27012.99
2006-02,24108.36
2006-03,21022.20
2006-04,23926.82
2006-05,23382.21
2006-06,22329.28
2006-07,23563.75
2006-08,26722.52
2006-09,27194.53
2006-10,24834.52
2006-11,25705.91
2006-12,27150.20
2007-01,23207.85
2007-02,23170.65
2007-03,24100.46
2007-04,23840.12
2007-05,21385.43
2007-06,24807.11
2007-07,27968.44
2007-08,25104.64
2007-09,23282.23
2007-10,18596.03
2007-11,19265.49
2007-12,19962.94
2008-01,20001.39
2008-02,18885.94
2008-03,21424.57
2008-04,20616.82
2008-05,23847.82
2008-06,19232.11
2008-07,16655.01
2008-08,14924.13
2008-09,14885.66
2008-10,8077.49
2008-11,5761.94
2008-12,5598.53
2009-01,7470.28
2009-02,7219.60
2009-03,10319.69
2009-04,12032.67
2009-05,10779.27
2009-06,11405.97
2009-07,14706.60
2009-08,18341.46
2009-09,16544.92
2009-10,15082.62
2009-11,15416.86
2009-12,19699.13
2010-01,19358.75
2010-02,17869.62
2010-03,22719.95
2010-04,24166.54
2010-05,21401.00
2010-06,21315.91
2010-07,19146.02
2010-08,17954.71
2010-09,18848.19
2010-10,19699.13
2010-11,19996.96
2010-12,20681.48
2011-01,25550.24
2011-02,24430.01
2011-03,26972.10
2011-04,29126.42
2011-05,25938.03
2011-06,21586.30
2011-07,20896.92
2011-08,16459.01
2011-09,18397.90
2011-10,19690.49
2011-11,19776.66
2011-12,18914.94
2012-01,23137.41
2012-02,26024.20
2012-03,25205.55
2012-04,24171.48
2012-05,19905.92
2012-06,20552.22
2012-07,18699.51
2012-08,18268.64
2012-09,19604.32
2012-10,21413.95
