date,price
2000-06,39.91
2000-07,35.93
2000-08,41.90
2000-09,30.19
2000-10,27.92
2000-11,20.38
2000-12,20.80
2001-01,25.05
2001-02,17.77
2001-03,17.62
2001-04,21.78
2001-05,19.53
2001-06,20.46
2001-07,19.79
2001-08,18.60
2001-09,12.55
2001-10,15.17
2001-11,18.10
2001-12,17.77
2002-01,19.23
2002-02,17.14
2002-03,19.76
2002-04,17.61
2002-05,16.33
2002-06,12.89
2002-07,11.38
2002-08,10.23
2002-09,8.17
2002-10,10.18
2002-11,12.44
2002-12,9.40
2003-01,9.13
2003-02,9.99
2003-03,9.80
2003-04,11.20
2003-05,12.72
2003-06,11.99
2003-07,13.80
2003-08,15.88
2003-09,14.61
2003-10,17.68
2003-11,18.60
2003-12,17.62
2004-01,17.82
2004-02,17.37
2004-03,16.77
2004-04,14.99
2004-05,16.52
2004-06,16.06
2004-07,13.97
2004-08,12.45
2004-09,12.84
2004-10,13.74
2004-11,13.79
2004-12,14.17
2005-01,13.25
2005-02,14.43
2005-03,13.81
2005-04,13.09
2005-05,14.61
2005-06,14.30
2005-07,15.86
2005-08,15.70
2005-09,15.68
2005-10,14.24
2005-11,15.88
2005-12,15.56
2006-01,15.84
2006-02,15.72
2006-03,15.42
2006-04,15.99
2006-05,14.45
2006-06,13.97
2006-07,13.38
2006-08,14.47
2006-09,14.56
2006-10,14.44
2006-11,14.67
2006-12,14.29
2007-01,14.36
2007-02,14.62
2007-03,14.18
2007-04,15.54
2007-05,15.59
2007-06,16.16
2007-07,16.04
2007-08,16.09
2007-09,16.26
2007-10,14.70
2007-11,13.72
2007-12,13.78
2008-01,11.95
2008-02,12.12
2008-03,12.19
2008-04,12.98
2008-05,13.86
2008-06,12.59
2008-07,11.85
2008-08,12.10
2008-09,10.49
2008-10,8.81
2008-11,7.06
2008-12,7.48
2009-01,7.18
2009-02,6.99
2009-03,7.94
2009-04,8.69
2009-05,8.96
2009-06,9.11
2009-07,10.59
2009-08,10.81
2009-09,10.88
2009-10,10.27
2009-11,10.81
2009-12,11.85
2010-01,10.51
2010-02,11.20
2010-03,11.83
2010-04,12.31
2010-05,11.64
2010-06,11.01
2010-07,11.63
2010-08,10.30
2010-09,11.77
2010-10,12.53
2010-11,13.19
2010-12,13.81
2011-01,14.61
2011-02,15.19
2011-03,14.69
2011-04,15.58
2011-05,15.24
2011-06,14.47
2011-07,13.61
2011-08,12.38
2011-09,12.08
2011-10,13.48
2011-11,13.02
2011-12,12.92
2012-01,14.23
2012-02,14.65
2012-03,15.20
2012-04,14.69
2012-05,13.19
2012-06,13.68
2012-07,13.69
2012-08,14.00
2012-09,13.43
2012-10,13.20
2012-11,13.60
2012-12,14.02
2013-01,14.88
2013-02,15.24
2013-03,15.41
2013-04,16.07
2013-05,16.61
2013-06,16.35
2013-07,16.73
2013-08,16.11
2013-09,17.30
2013-10,17.86
2013-11,17.86
2013-12,18.70
2014-01,18.14
2014-02,19.24
2014-03,20.10
2014-04,19.69
2014-05,20.42
2014-06,21.81
2014-07,21.49
2014-08,22.78
2014-09,22.52
2014-10,22.66
2014-11,24.48
2014-12,24.35
2015-01,23.51
2015-02,25.40
2015-03,24.65
2015-04,24.73
2015-05,26.66
2015-06,24.33
2015-07,23.25
2015-08,22.09
2015-09,22.24
2015-10,24.17
2015-11,24.88
2015-12,24.27
2016-01,22.65
2016-02,22.97
2016-03,25.09
2016-04,23.90
2016-05,25.92
2016-06,25.97
2016-07,28.92
2016-08,30.16
2016-09,31.64
2016-10,31.10
2016-11,32.37
2016-12,32.89
2017-01,34.18
2017-02,35.08
2017-03,36.60
2017-04,36.60
2017-05,39.48
2017-06,37.59
2017-07,39.41
2017-08,40.67
2017-09,42.85
2017-10,46.66
2017-11,46.03
2017-12,45.55
2018-01,49.60
2018-02,49.62
2018-03,48.56
2018-04,45.25
2018-05,49.92
2018-06,47.81
2018-07,49.31
2018-08,50.73
2018-09,49.57
2018-10,43.53
2018-11,45.06
2018-12,41.43
2019-01,45.85
2019-02,49.05
2019-03,50.47
2019-04,55.18
2019-05,46.63
2019-06,52.30
2019-07,55.58
2019-08,54.31
2019-09,56.55
2019-10,60.51
2019-11,63.09
2019-12,68.13
2020-01,66.28
2020-02,63.58
2020-03,56.44
2020-04,64.43
2020-05,67.95
2020-06,73.62
2020-07,80.08
2020-08,84.49
2020-09,83.93
2020-10,84.29
2020-11,100.50
2020-12,105.96
2021-01,109.94
2021-02,116.89
2021-03,118.15
2021-04,117.89
2021-05,120.89
2021-06,127.22
2021-07,127.66
2021-08,131.39
2021-09,124.32
2021-10,132.75
2021-11,147.92
2021-12,150.61
2022-01,134.32
2022-02,130.79
2022-03,131.58
2022-04,112.10
2022-05,119.29
2022-06,99.37
2022-07,115.67
2022-08,104.65
2022-09,90.29
2022-10,92.29
2022-11,111.07
2022-12,100.11
2023-01,116.96
2023-02,118.09
2023-03,129.83
2023-04,121.96
2023-05,142.39
2023-06,150.20
2023-07,158.46
2023-08,154.12
2023-09,143.03
2023-10,137.08
2023-11,158.32
2023-12,173.56
2024-01,184.48
2024-02,210.36
2024-03,223.30
2024-04,212.48
2024-05,238.68
2024-06,258.74
2024-07,245.14
2024-08,241.63
2024-09,243.61
2024-10,239.87
2024-11,240.31
2024-12,241.42
2025-01,242.86
2025-02,232.05
2025-03,210.81
2025-04,210.62
2025-05,239.01
2025-06,278.01
2025-07,287.88
2025-08,289.39
2025-09,325.35
2025-10,361.89
2025-11,351.19
2025-12,360.13
2026-01,403.46
2026-02,406.37
2026-03,383.40
2026-04,506.72
2026-05,598.93
