date,price
2020-04,0.69
2020-05,0.57
2020-06,0.86
2020-07,1.54
2020-08,4.78
2020-09,2.90
2020-10,1.54
2020-11,1.97
2020-12,1.51
2021-01,4.26
2021-02,13.09
2021-03,19.47
2021-04,42.96
2021-05,32.82
2021-06,35.56
2021-07,36.83
2021-08,108.48
2021-09,141.07
2021-10,202.42
2021-11,208.67
2021-12,170.30
2022-01,99.74
2022-02,99.52
2022-03,122.66
2022-04,85.10
2022-05,45.77
2022-06,33.59
2022-07,42.40
2022-08,31.47
2022-09,33.21
2022-10,32.61
2022-11,14.12
2022-12,9.96
2023-01,23.95
2023-02,21.92
2023-03,21.17
2023-04,22.83
2023-05,20.82
2023-06,18.90
2023-07,23.72
2023-08,19.74
2023-09,21.40
2023-10,38.52
2023-11,59.24
2023-12,101.51
2024-01,97.03
2024-02,125.71
2024-03,202.87
2024-04,126.96
2024-05,165.64
2024-06,146.49
2024-07,171.83
2024-08,135.37
2024-09,152.62
2024-10,168.43
2024-11,237.74
2024-12,189.26
2025-01,231.64
2025-02,148.03
2025-03,124.69
2025-04,147.64
2025-05,156.64
2025-06,154.74
2025-07,172.42
2025-08,200.86
2025-09,208.74
2025-10,187.21
2025-11,133.56
2025-12,124.48
2026-01,105.44
2026-02,84.37
2026-03,83.11
2026-04,83.02
2026-05,82.55
