date,price
2010-03,0.64
2010-04,0.68
2010-05,0.55
2010-06,0.43
2010-07,0.49
2010-08,0.33
2010-09,0.47
2010-10,0.57
2010-11,0.65
2010-12,0.76
2011-01,0.92
2011-02,1.02
2011-03,0.87
2011-04,0.93
2011-05,0.87
2011-06,0.69
2011-07,0.57
2011-08,0.42
2011-09,0.35
2011-10,0.50
2011-11,0.43
2011-12,0.39
2012-01,0.55
2012-02,0.61
2012-03,0.67
2012-04,0.55
2012-05,0.39
2012-06,0.43
2012-07,0.42
2012-08,0.46
2012-09,0.41
2012-10,0.36
2012-11,0.38
2012-12,0.41
2013-01,0.50
2013-02,0.57
2013-03,0.59
2013-04,0.61
2013-05,0.73
2013-06,0.71
2013-07,0.75
2013-08,0.66
2013-09,0.81
2013-10,0.89
2013-11,0.91
2013-12,1.05
2014-01,1.00
2014-02,1.21
2014-03,1.36
2014-04,1.27
2014-05,1.44
2014-06,1.71
2014-07,1.48
2014-08,1.79
2014-09,1.72
2014-10,1.68
2014-11,2.05
2014-12,2.04
2015-01,1.74
2015-02,2.28
2015-03,2.06
2015-04,1.98
2015-05,2.51
2015-06,1.91
2015-07,1.61
2015-08,1.34
2015-09,1.25
2015-10,1.63
2015-11,1.74
2015-12,1.62
2016-01,1.24
2016-02,1.28
2016-03,1.64
2016-04,1.41
2016-05,1.79
2016-06,1.69
2016-07,2.28
2016-08,2.61
2016-09,2.92
2016-10,2.78
2016-11,3.38
2016-12,3.63
2017-01,4.08
2017-02,4.40
2017-03,4.98
2017-04,4.86
2017-05,6.16
2017-06,5.18
2017-07,5.92
2017-08,6.36
2017-09,7.33
2017-10,9.40
2017-11,9.26
2017-12,8.77
2018-01,11.06
2018-02,10.75
2018-03,9.72
2018-04,7.76
2018-05,10.51
2018-06,9.02
2018-07,10.02
2018-08,10.71
2018-09,9.88
2018-10,6.43
2018-11,6.83
2018-12,5.35
2019-01,6.83
2019-02,8.13
2019-03,8.84
2019-04,12.09
2019-05,6.81
2019-06,9.54
2019-07,11.09
2019-08,9.97
2019-09,10.97
2019-10,12.78
2019-11,14.28
2019-12,17.74
2020-01,15.72
2020-02,13.23
2020-03,6.12
2020-04,8.46
2020-05,9.96
2020-06,12.17
2020-07,14.64
2020-08,17.27
2020-09,16.37
2020-10,16.09
2020-11,26.24
2020-12,30.16
2021-01,32.39
2021-02,37.54
2021-03,37.07
2021-04,35.80
2021-05,37.62
2021-06,43.21
2021-07,43.07
2021-08,45.16
2021-09,38.85
2021-10,46.23
2021-11,62.74
2021-12,66.00
2022-01,43.26
2022-02,39.80
2022-03,37.64
2022-04,21.59
2022-05,24.13
2022-06,12.73
2022-07,19.27
2022-08,13.64
2022-09,8.64
2022-10,8.70
2022-11,13.48
2022-12,9.46
2023-01,14.21
2023-02,14.34
2023-03,17.93
2023-04,13.95
2023-05,20.73
2023-06,24.37
2023-07,27.88
2023-08,23.42
2023-09,18.55
2023-10,14.65
2023-11,22.43
2023-12,30.94
2024-01,31.63
2024-02,42.21
2024-03,45.89
2024-04,37.65
2024-05,47.92
2024-06,54.75
2024-07,43.90
2024-08,38.36
2024-09,36.34
2024-10,29.81
2024-11,27.80
2024-12,27.13
2025-01,26.84
2025-02,22.58
2025-03,15.90
2025-04,12.12
2025-05,16.11
2025-06,25.10
2025-07,24.97
2025-08,26.03
2025-09,34.84
2025-10,47.78
2025-11,41.26
2025-12,42.03
2026-01,61.79
2026-02,62.77
2026-03,47.91
2026-04,126.98
2026-05,224.34
