date,price
2001-07,20.24
2001-08,18.85
2001-09,13.13
2001-10,15.94
2001-11,18.58
2001-12,18.21
2002-01,18.99
2002-02,16.90
2002-03,19.51
2002-04,17.66
2002-05,16.38
2002-06,13.12
2002-07,11.34
2002-08,10.41
2002-09,8.09
2002-10,10.00
2002-11,12.38
2002-12,9.50
2003-01,9.04
2003-02,9.82
2003-03,9.57
2003-04,10.79
2003-05,12.43
2003-06,11.94
2003-07,13.23
2003-08,15.39
2003-09,14.35
2003-10,17.06
2003-11,17.96
2003-12,17.18
2004-01,17.80
2004-02,17.64
2004-03,16.89
2004-04,15.14
2004-05,16.71
2004-06,16.23
2004-07,13.88
2004-08,12.53
2004-09,13.15
2004-10,13.93
2004-11,14.38
2004-12,14.73
2005-01,13.65
2005-02,14.72
2005-03,13.96
2005-04,13.15
2005-05,14.65
2005-06,14.44
2005-07,16.11
2005-08,16.14
2005-09,16.24
2005-10,15.29
2005-11,16.95
2005-12,16.71
2006-01,18.20
2006-02,17.80
2006-03,17.86
2006-04,18.28
2006-05,16.55
2006-06,15.89
2006-07,15.21
2006-08,16.57
2006-09,16.87
2006-10,16.71
2006-11,17.25
2006-12,16.74
2007-01,16.69
2007-02,16.98
2007-03,16.57
2007-04,17.57
2007-05,17.72
2007-06,18.11
2007-07,18.12
2007-08,18.37
2007-09,18.59
2007-10,17.81
2007-11,16.29
2007-12,16.38
2008-01,14.12
2008-02,13.84
2008-03,13.67
2008-04,14.72
2008-05,15.97
2008-06,14.16
2008-07,12.99
2008-08,13.56
2008-09,11.21
2008-10,9.23
2008-11,7.48
2008-12,7.91
2009-01,7.71
2009-02,7.58
2009-03,8.68
2009-04,9.76
2009-05,10.16
2009-06,10.26
2009-07,11.85
2009-08,12.16
2009-09,12.53
2009-10,11.36
2009-11,12.13
2009-12,13.84
2010-01,12.08
2010-02,13.05
2010-03,13.89
2010-04,14.18
2010-05,13.25
2010-06,12.34
2010-07,12.98
2010-08,11.63
2010-09,13.36
2010-10,14.28
2010-11,14.98
2010-12,15.73
2011-01,16.80
2011-02,17.53
2011-03,16.71
2011-04,17.19
2011-05,16.84
2011-06,15.73
2011-07,14.87
2011-08,13.70
2011-09,13.05
2011-10,14.89
2011-11,14.36
2011-12,14.06
2012-01,15.80
2012-02,16.42
2012-03,16.95
2012-04,16.00
2012-05,14.32
2012-06,14.96
2012-07,14.92
2012-08,15.42
2012-09,14.90
2012-10,14.32
2012-11,14.62
2012-12,14.99
2013-01,16.14
2013-02,16.73
2013-03,17.12
2013-04,17.42
2013-05,18.41
2013-06,18.40
2013-07,18.82
2013-08,18.08
2013-09,19.40
2013-10,20.04
2013-11,20.22
2013-12,21.23
2014-01,21.00
2014-02,22.41
2014-03,23.33
2014-04,22.90
2014-05,23.91
2014-06,25.36
2014-07,24.26
2014-08,25.82
2014-09,25.57
2014-10,25.65
2014-11,27.51
2014-12,27.57
2015-01,26.22
2015-02,28.74
2015-03,27.98
2015-04,27.62
2015-05,30.07
2015-06,27.47
2015-07,26.12
2015-08,24.77
2015-09,24.44
2015-10,26.86
2015-11,27.48
2015-12,27.01
2016-01,24.96
2016-02,25.39
2016-03,27.63
2016-04,26.35
2016-05,28.64
2016-06,28.33
2016-07,31.46
2016-08,32.94
2016-09,34.32
2016-10,33.83
2016-11,36.26
2016-12,37.37
2017-01,38.93
2017-02,40.03
2017-03,41.79
2017-04,41.55
2017-05,45.18
2017-06,42.91
2017-07,44.98
2017-08,46.29
2017-09,48.69
2017-10,53.03
2017-11,52.98
2017-12,52.23
2018-01,56.74
2018-02,56.87
2018-03,55.49
2018-04,52.00
2018-05,57.77
2018-06,55.12
2018-07,57.37
2018-08,58.86
2018-09,57.48
2018-10,50.62
2018-11,52.26
2018-12,48.84
2019-01,53.76
2019-02,57.20
2019-03,59.16
2019-04,66.03
2019-05,55.10
2019-06,62.18
2019-07,65.68
2019-08,64.16
2019-09,66.56
2019-10,70.63
2019-11,73.50
2019-12,79.33
2020-01,76.79
2020-02,73.23
2020-03,65.06
2020-04,74.51
2020-05,79.84
2020-06,86.06
2020-07,92.26
2020-08,97.61
2020-09,97.13
2020-10,97.40
2020-11,115.37
2020-12,121.15
2021-01,125.06
2021-02,133.21
2021-03,135.72
2021-04,135.10
2021-05,138.50
2021-06,145.57
2021-07,146.44
2021-08,150.05
2021-09,143.25
2021-10,152.49
2021-11,170.03
2021-12,174.57
2022-01,154.33
2022-02,152.63
2022-03,152.63
2022-04,129.25
2022-05,137.43
2022-06,112.92
2022-07,131.56
2022-08,119.40
2022-09,103.50
2022-10,106.02
2022-11,126.01
2022-12,113.32
2023-01,131.46
2023-02,133.46
2023-03,145.17
2023-04,134.55
2023-05,155.63
2023-06,165.83
2023-07,174.99
2023-08,166.94
2023-09,155.39
2023-10,145.13
2023-11,168.51
2023-12,189.37
2024-01,192.64
2024-02,214.35
2024-03,223.02
2024-04,211.24
2024-05,231.00
2024-06,243.77
2024-07,232.65
2024-08,228.46
2024-09,228.47
2024-10,216.26
2024-11,213.42
2024-12,213.85
2025-01,216.47
2025-02,206.93
2025-03,186.98
2025-04,182.67
2025-05,203.64
2025-06,237.70
2025-07,239.03
2025-08,244.30
2025-09,270.56
2025-10,305.91
2025-11,296.12
2025-12,300.96
2026-01,346.09
2026-02,352.07
2026-03,328.66
2026-04,461.44
2026-05,569.08
