date,price
2010-01,1073.87
2010-02,1104.49
2010-03,1169.43
2010-04,1186.69
2010-05,1089.41
2010-06,1030.71
2010-07,1101.60
2010-08,1049.33
2010-09,1141.20
2010-10,1183.26
2010-11,1180.55
2010-12,1257.64
2011-01,1286.12
2011-02,1327.22
2011-03,1325.83
2011-04,1363.61
2011-05,1345.20
2011-06,1320.64
2011-07,1292.28
2011-08,1218.89
2011-09,1131.42
2011-10,1253.30
2011-11,1246.96
2011-12,1257.60
2012-01,1312.41
2012-02,1365.68
2012-03,1408.47
2012-04,1397.91
2012-05,1310.33
2012-06,1362.16
2012-07,1379.32
2012-08,1406.58
2012-09,1440.67
2012-10,1412.16
2012-11,1416.18
2012-12,1426.19
2013-01,1498.11
2013-02,1514.68
2013-03,1569.19
2013-04,1597.57
2013-05,1630.74
2013-06,1606.28
2013-07,1685.73
2013-08,1632.97
2013-09,1681.55
2013-10,1756.54
2013-11,1805.81
2013-12,1848.36
2014-01,1782.59
2014-02,1859.45
2014-03,1872.34
2014-04,1883.95
2014-05,1923.57
2014-06,1960.23
2014-07,1930.67
2014-08,2003.37
2014-09,1972.29
2014-10,2018.05
2014-11,2067.56
2014-12,2058.90
2015-01,1994.99
2015-02,2104.50
2015-03,2067.89
2015-04,2085.51
2015-05,2107.39
2015-06,2063.11
2015-07,2103.84
2015-08,1972.18
2015-09,1920.03
2015-10,2079.36
2015-11,2080.41
2015-12,2043.94
2016-01,1940.24
2016-02,1932.23
2016-03,2059.74
2016-04,2065.30
2016-05,2096.95
2016-06,2098.86
2016-07,2173.60
2016-08,2170.95
2016-09,2168.27
2016-10,2126.15
2016-11,2198.81
2016-12,2238.83
2017-01,2278.87
2017-02,2363.64
2017-03,2362.72
2017-04,2384.20
2017-05,2411.80
2017-06,2423.41
2017-07,2470.30
2017-08,2471.65
2017-09,2519.36
2017-10,2575.26
2017-11,2647.58
2017-12,2673.61
2018-01,2823.81
2018-02,2713.83
2018-03,2640.87
2018-04,2648.05
2018-05,2705.27
2018-06,2718.37
2018-07,2816.29
2018-08,2901.52
2018-09,2913.98
2018-10,2711.74
2018-11,2760.17
2018-12,2506.85
2019-01,2704.10
2019-02,2784.49
2019-03,2834.40
2019-04,2945.83
2019-05,2752.06
2019-06,2941.76
2019-07,2980.38
2019-08,2926.46
2019-09,2976.74
2019-10,3037.56
2019-11,3140.98
2019-12,3230.78
2020-01,3225.52
2020-02,2954.22
2020-03,2584.59
2020-04,2912.43
2020-05,3044.31
2020-06,3100.29
2020-07,3271.12
2020-08,3500.31
2020-09,3363.00
2020-10,3269.96
2020-11,3621.63
2020-12,3756.07
2021-01,3714.24
2021-02,3811.15
2021-03,3972.89
2021-04,4181.17
2021-05,4204.11
2021-06,4297.50
2021-07,4395.26
2021-08,4522.68
2021-09,4307.54
2021-10,4605.38
2021-11,4567.00
2021-12,4766.18
2022-01,4515.55
2022-02,4373.94
2022-03,4530.41
2022-04,4131.93
2022-05,4132.15
2022-06,3785.38
2022-07,4130.29
2022-08,3955.00
2022-09,3585.62
2022-10,3871.98
2022-11,4080.11
2022-12,3839.50
2023-01,4076.60
2023-02,3970.15
2023-03,4109.31
2023-04,4169.48
2023-05,4179.83
2023-06,4450.38
2023-07,4588.96
2023-08,4507.66
2023-09,4288.05
2023-10,4193.80
2023-11,4567.80
2023-12,4769.83
2024-01,4845.65
2024-02,5096.27
2024-03,5254.35
2024-04,5035.69
2024-05,5277.51
2024-06,5460.48
2024-07,5522.30
2024-08,5648.40
2024-09,5762.48
2024-10,5705.45
2024-11,6032.38
2024-12,5881.63
2025-01,6040.53
2025-02,5954.50
2025-03,5611.85
2025-04,5569.06
2025-05,5911.69
2025-06,6204.95
2025-07,6339.39
2025-08,6460.26
2025-09,6688.46
2025-10,6840.20
2025-11,6849.09
2025-12,6845.50
2026-01,6939.03
2026-02,6878.88
2026-03,6528.52
2026-04,7209.01
2026-05,7501.24
