date,price
2000-01,87.68
2000-02,86.34
2000-03,94.71
2000-04,91.38
2000-05,89.95
2000-06,91.72
2000-07,90.28
2000-08,96.18
2000-09,90.90
2000-10,90.47
2000-11,83.72
2000-12,83.28
2001-01,86.98
2001-02,78.69
2001-03,74.28
2001-04,80.62
2001-05,80.17
2001-06,78.26
2001-07,77.46
2001-08,72.87
2001-09,66.92
2001-10,67.79
2001-11,73.08
2001-12,73.49
2002-01,72.77
2002-02,71.46
2002-03,73.84
2002-04,69.55
2002-05,69.13
2002-06,64.03
2002-07,58.99
2002-08,59.39
2002-09,53.16
2002-10,57.53
2002-11,61.08
2002-12,57.63
2003-01,56.21
2003-02,55.45
2003-03,55.57
2003-04,60.27
2003-05,63.58
2003-06,64.25
2003-07,65.41
2003-08,66.76
2003-09,66.03
2003-10,69.57
2003-11,70.33
2003-12,73.87
2004-01,75.33
2004-02,76.35
2004-03,75.34
2004-04,73.91
2004-05,75.18
2004-06,76.57
2004-07,74.10
2004-08,74.28
2004-09,75.03
2004-10,76.00
2004-11,79.38
2004-12,81.77
2005-01,79.94
2005-02,81.61
2005-03,80.11
2005-04,78.61
2005-05,81.15
2005-06,81.27
2005-07,84.38
2005-08,83.59
2005-09,84.26
2005-10,82.27
2005-11,85.88
2005-12,85.72
2006-01,87.78
2006-02,88.28
2006-03,89.74
2006-04,90.87
2006-05,88.13
2006-06,88.36
2006-07,88.76
2006-08,90.69
2006-09,93.14
2006-10,96.08
2006-11,97.99
2006-12,99.30
2007-01,100.79
2007-02,98.82
2007-03,99.96
2007-04,104.39
2007-05,107.93
2007-06,106.35
2007-07,103.02
2007-08,104.34
2007-09,108.38
2007-10,109.85
2007-11,105.60
2007-12,104.41
2008-01,98.10
2008-02,95.56
2008-03,94.71
2008-04,99.22
2008-05,100.72
2008-06,92.30
2008-07,91.47
2008-08,92.89
2008-09,84.14
2008-10,70.24
2008-11,65.35
2008-12,65.99
2009-01,60.57
2009-02,54.06
2009-03,58.57
2009-04,64.39
2009-05,68.15
2009-06,68.11
2009-07,73.19
2009-08,75.89
2009-09,78.58
2009-10,77.07
2009-11,81.82
2009-12,83.38
2010-01,80.35
2010-02,82.86
2010-03,87.90
2010-04,89.26
2010-05,82.17
2010-06,77.92
2010-07,83.24
2010-08,79.50
2010-09,86.62
2010-10,89.92
2010-11,89.92
2010-12,95.94
2011-01,98.17
2011-02,101.58
2011-03,101.59
2011-04,104.54
2011-05,103.36
2011-06,101.62
2011-07,99.59
2011-08,94.11
2011-09,87.58
2011-10,97.14
2011-11,96.74
2011-12,97.75
2012-01,102.29
2012-02,106.73
2012-03,110.16
2012-04,109.42
2012-05,102.85
2012-06,107.03
2012-07,108.29
2012-08,111.01
2012-09,113.82
2012-10,111.75
2012-11,112.38
2012-12,113.39
2013-01,119.19
2013-02,120.71
2013-03,125.29
2013-04,127.70
2013-05,130.72
2013-06,128.97
