date,price
2010-02,0.22
2010-03,0.28
2010-04,0.29
2010-05,0.23
2010-06,0.18
2010-07,0.22
2010-08,0.19
2010-09,0.27
2010-10,0.32
2010-11,0.32
2010-12,0.37
2011-01,0.40
2011-02,0.43
2011-03,0.42
2011-04,0.46
2011-05,0.44
2011-06,0.41
2011-07,0.43
2011-08,0.34
2011-09,0.29
2011-10,0.39
2011-11,0.35
2011-12,0.34
2012-01,0.43
2012-02,0.51
2012-03,0.59
2012-04,0.57
2012-05,0.45
2012-06,0.50
2012-07,0.51
2012-08,0.59
2012-09,0.60
2012-10,0.51
2012-11,0.52
2012-12,0.51
2013-01,0.55
2013-02,0.56
2013-03,0.60
2013-04,0.65
2013-05,0.72
2013-06,0.66
2013-07,0.79
2013-08,0.78
2013-09,0.89
2013-10,1.03
2013-11,1.13
2013-12,1.23
2014-01,1.15
2014-02,1.33
2014-03,1.22
2014-04,1.19
2014-05,1.36
2014-06,1.48
2014-07,1.53
2014-08,1.77
2014-09,1.72
2014-10,1.83
2014-11,2.09
2014-12,1.93
2015-01,1.80
2015-02,2.21
2015-03,2.05
2015-04,2.15
2015-05,2.29
2015-06,2.11
2015-07,2.39
2015-08,1.88
2015-09,1.73
2015-10,2.38
2015-11,2.41
2015-12,2.27
2016-01,1.79
2016-02,1.68
2016-03,2.03
2016-04,1.84
2016-05,2.08
2016-06,1.91
2016-07,2.34
2016-08,2.41
2016-09,2.55
2016-10,2.44
2016-11,2.46
2016-12,2.53
2017-01,2.92
2017-02,3.32
2017-03,3.50
2017-04,3.79
2017-05,4.22
2017-06,3.88
2017-07,4.37
2017-08,4.59
2017-09,4.54
2017-10,5.16
2017-11,5.44
2017-12,5.51
2018-01,7.04
2018-02,6.60
2018-03,5.72
2018-04,5.69
2018-05,6.66
2018-06,6.80
2018-07,7.32
2018-08,8.61
2018-09,8.48
2018-10,6.22
2018-11,6.04
2018-12,4.42
2019-01,5.61
2019-02,6.09
2019-03,6.76
2019-04,7.89
2019-05,5.99
2019-06,7.37
2019-07,7.83
2019-08,7.22
2019-09,7.36
2019-10,8.27
2019-11,9.28
2019-12,10.33
2020-01,11.18
2020-02,9.19
2020-03,5.69
2020-04,8.33
2020-05,9.88
2020-06,11.66
2020-07,14.25
2020-08,19.26
2020-09,15.63
2020-10,14.02
2020-11,18.87
2020-12,21.71
2021-01,21.60
2021-02,21.30
2021-03,21.79
2021-04,25.71
2021-05,24.50
2021-06,29.25
2021-07,31.70
2021-08,35.70
2021-09,29.75
2021-10,37.05
2021-11,39.04
2021-12,39.72
2022-01,29.53
2022-02,25.05
2022-03,27.78
2022-04,17.45
2022-05,15.78
2022-06,11.46
2022-07,15.93
2022-08,13.28
2022-09,9.23
2022-10,10.00
2022-11,11.25
2022-12,8.30
2023-01,11.00
2023-02,10.62
2023-03,13.65
2023-04,13.64
2023-05,16.78
2023-06,19.86
2023-07,21.95
2023-08,20.56
2023-09,17.31
2023-10,15.93
2023-11,21.32
2023-12,24.75
2024-01,25.70
2024-02,29.47
2024-03,30.16
2024-04,25.84
2024-05,30.64
2024-06,36.31
2024-07,33.58
2024-08,33.75
2024-09,35.77
2024-10,34.27
2024-11,39.42
2024-12,39.17
2025-01,40.95
2025-02,37.09
2025-03,28.45
2025-04,27.25
2025-05,34.76
2025-06,41.33
2025-07,43.92
2025-08,44.49
2025-09,51.53
2025-10,58.17
2025-11,54.36
2025-12,52.63
2026-01,53.91
2026-02,49.44
2026-03,41.68
2026-04,63.54
2026-05,84.56
