date,price
2015-01,13.57
2015-02,13.56
2015-03,12.58
2015-04,15.07
2015-05,16.72
2015-06,17.88
2015-07,17.74
2015-08,16.60
2015-09,16.56
2015-10,13.80
2015-11,15.35
2015-12,16.00
2016-01,12.75
2016-02,12.80
2016-03,15.32
2016-04,16.05
2016-05,14.88
2016-06,14.15
2016-07,15.65
2016-08,14.13
2016-09,13.60
2016-10,13.18
2016-11,12.63
2016-12,14.25
2017-01,16.80
2017-02,16.67
2017-03,18.55
2017-04,20.94
2017-05,22.73
2017-06,24.11
2017-07,21.56
2017-08,23.73
2017-09,22.74
2017-10,22.10
2017-11,20.59
2017-12,20.76
2018-01,23.62
2018-02,22.87
2018-03,17.74
2018-04,19.59
2018-05,18.98
2018-06,22.86
2018-07,19.88
2018-08,20.11
2018-09,17.65
2018-10,22.49
2018-11,23.37
2018-12,22.19
2019-01,20.47
2019-02,21.33
2019-03,18.66
2019-04,15.91
2019-05,12.34
2019-06,14.90
2019-07,16.11
2019-08,15.04
2019-09,16.06
2019-10,20.99
2019-11,22.00
2019-12,27.89
2020-01,43.37
2020-02,44.53
2020-03,34.93
2020-04,52.13
2020-05,55.67
2020-06,71.99
2020-07,95.38
2020-08,166.11
2020-09,143.00
2020-10,129.35
2020-11,189.20
2020-12,235.22
2021-01,264.51
2021-02,225.17
2021-03,222.64
2021-04,236.48
2021-05,208.41
2021-06,226.57
2021-07,229.07
2021-08,245.24
2021-09,258.49
2021-10,371.33
2021-11,381.59
2021-12,352.26
2022-01,312.24
2022-02,290.14
2022-03,359.20
2022-04,290.25
2022-05,252.75
2022-06,224.47
2022-07,297.15
2022-08,275.61
2022-09,265.25
2022-10,227.54
2022-11,194.70
2022-12,123.18
2023-01,173.22
2023-02,205.71
2023-03,207.46
2023-04,164.31
2023-05,203.93
2023-06,261.77
2023-07,267.43
2023-08,258.08
2023-09,250.22
2023-10,200.84
2023-11,240.08
2023-12,248.48
2024-01,187.29
2024-02,201.88
2024-03,175.79
2024-04,183.28
2024-05,178.08
2024-06,197.88
2024-07,232.07
2024-08,214.11
2024-09,261.63
2024-10,249.85
2024-11,345.16
2024-12,403.84
2025-01,404.60
2025-02,292.98
2025-03,259.16
2025-04,282.16
2025-05,346.46
2025-06,317.66
2025-07,308.27
2025-08,333.87
2025-09,444.72
2025-10,456.56
2025-11,430.17
2025-12,449.72
2026-01,430.41
2026-02,402.51
2026-03,371.75
2026-04,381.63
2026-05,443.30
