date,price
2000-01,9.73
2000-02,11.22
2000-03,10.70
2000-04,9.82
2000-05,8.48
2000-06,9.26
2000-07,7.30
2000-08,8.41
2000-09,4.91
2000-10,5.45
2000-11,4.04
2000-12,4.14
2001-01,5.80
2001-02,4.52
2001-03,4.68
2001-04,5.82
2001-05,4.77
2001-06,5.11
2001-07,5.48
2001-08,4.36
2001-09,3.19
2001-10,4.34
2001-11,5.36
2001-12,5.77
2002-01,5.71
2002-02,5.46
2002-03,6.98
2002-04,5.95
2002-05,5.58
2002-06,4.81
2002-07,3.37
2002-08,3.02
2002-09,2.35
2002-10,2.89
2002-11,3.42
2002-12,2.61
2003-01,2.48
2003-02,2.62
2003-03,2.53
2003-04,3.10
2003-05,3.75
2003-06,3.73
2003-07,3.99
2003-08,4.71
2003-09,4.33
2003-10,4.42
2003-11,4.34
2003-12,4.09
2004-01,4.47
2004-02,4.15
2004-03,4.17
2004-04,3.81
2004-05,4.05
2004-06,3.83
2004-07,3.28
2004-08,3.48
2004-09,3.29
2004-10,3.49
2004-11,3.67
2004-12,3.91
2005-01,4.03
2005-02,4.20
2005-03,3.91
2005-04,3.97
2005-05,4.24
2005-06,4.57
2005-07,4.30
2005-08,4.12
2005-09,4.12
2005-10,4.05
2005-11,4.80
2005-12,4.96
2006-01,5.41
2006-02,4.87
2006-03,5.04
2006-04,5.25
2006-05,4.74
2006-06,4.95
2006-07,4.68
2006-08,5.02
2006-09,5.18
2006-10,5.23
2006-11,5.80
2006-12,5.89
2007-01,5.88
2007-02,5.99
2007-03,5.80
2007-04,5.68
2007-05,5.88
2007-06,6.26
2007-07,5.71
2007-08,5.58
2007-09,5.70
2007-10,5.99
2007-11,5.58
2007-12,5.61
2008-01,5.21
2008-02,5.48
2008-03,5.78
2008-04,6.33
2008-05,6.44
2008-06,6.14
2008-07,5.63
2008-08,5.76
2008-09,5.56
2008-10,4.90
2008-11,4.24
2008-12,4.68
2009-01,4.47
2009-02,4.47
2009-03,5.31
2009-04,6.27
2009-05,6.49
2009-06,5.58
2009-07,6.54
2009-08,6.69
2009-09,6.85
2009-10,5.96
2009-11,6.49
2009-12,7.15
2010-01,6.35
2010-02,6.09
2010-03,6.55
2010-04,6.62
2010-05,6.09
2010-06,6.10
2010-07,6.63
2010-08,6.17
2010-09,6.65
2010-10,7.16
2010-11,7.05
2010-12,8.23
2011-01,8.57
2011-02,8.06
2011-03,7.99
2011-04,8.86
2011-05,8.96
2011-06,8.62
2011-07,8.45
2011-08,8.18
2011-09,7.81
2011-10,8.63
2011-11,8.83
2011-12,8.83
2012-01,9.63
2012-02,9.93
2012-03,10.45
2012-04,10.65
2012-05,9.39
2012-06,9.54
2012-07,9.89
2012-08,10.41
2012-09,11.20
2012-10,11.26
2012-11,12.23
2012-12,12.15
2013-01,12.56
2013-02,12.93
2013-03,12.17
2013-04,13.51
2013-05,13.22
2013-06,12.98
2013-07,12.36
2013-08,12.06
2013-09,12.35
2013-10,13.40
2013-11,12.91
2013-12,12.70
2014-01,12.32
2014-02,13.16
2014-03,14.57
2014-04,14.63
2014-05,14.97
2014-06,15.57
2014-07,14.89
2014-08,15.59
2014-09,15.02
2014-10,16.39
2014-11,17.47
2014-12,16.66
2015-01,16.91
2015-02,18.26
2015-03,17.48
2015-04,18.19
2015-05,18.07
2015-06,17.44
2015-07,16.98
2015-08,15.27
2015-09,15.94
2015-10,16.87
2015-11,17.48
2015-12,17.47
2016-01,17.17
2016-02,18.09
2016-03,20.12
2016-04,18.12
2016-05,18.99
2016-06,20.90
2016-07,22.14
2016-08,22.90
2016-09,24.38
2016-10,24.78
2016-11,23.66
2016-12,22.91
2017-01,24.63
2017-02,25.08
2017-03,26.17
2017-04,26.35
2017-05,28.18
2017-06,28.77
2017-07,29.59
2017-08,30.42
2017-09,30.90
2017-10,34.83
2017-11,32.58
2017-12,32.63
2018-01,37.28
2018-02,35.67
2018-03,36.01
2018-04,31.64
2018-05,31.84
2018-06,31.18
2018-07,35.15
2018-08,37.19
2018-09,37.67
2018-10,32.50
2018-11,32.06
2018-12,31.48
2019-01,32.09
2019-02,33.31
2019-03,34.94
2019-04,37.38
2019-05,32.71
2019-06,34.50
2019-07,37.54
2019-08,37.54
2019-09,41.23
2019-10,45.80
2019-11,47.09
2019-12,51.90
2020-01,48.18
2020-02,48.09
2020-03,43.09
2020-04,47.91
2020-05,45.38
2020-06,51.57
2020-07,71.67
2020-08,71.99
2020-09,74.03
2020-10,76.58
2020-11,88.59
2020-12,99.99
2021-01,111.43
2021-02,115.48
2021-03,108.87
2021-04,107.45
2021-05,108.02
2021-06,111.02
2021-07,107.77
2021-08,109.96
2021-09,103.58
2021-10,105.49
2021-11,108.69
2021-12,112.08
2022-01,114.24
2022-02,99.69
2022-03,97.60
2022-04,86.99
2022-05,89.21
2022-06,76.93
2022-07,83.26
2022-08,78.43
2022-09,64.88
2022-10,58.25
2022-11,78.53
2022-12,70.89
2023-01,88.25
2023-02,82.86
2023-03,88.99
2023-04,80.65
2023-05,94.32
2023-06,96.95
2023-07,95.25
2023-08,89.89
2023-09,83.91
2023-10,83.34
2023-11,93.97
2023-12,100.90
2024-01,109.59
2024-02,124.84
2024-03,132.53
2024-04,133.79
2024-05,147.13
2024-06,169.85
2024-07,162.02
2024-08,167.79
2024-09,170.34
2024-10,186.89
2024-11,181.12
2024-12,194.32
2025-01,205.96
2025-02,177.63
2025-03,163.97
2025-04,164.65
2025-05,190.95
2025-06,224.54
2025-07,239.54
2025-08,228.88
2025-09,277.76
2025-10,298.78
2025-11,289.91
2025-12,303.04
2026-01,329.63
2026-02,373.53
2026-03,337.95
2026-04,396.06
2026-05,418.45
2026-06,415.17
