date,price
2009-06,1.13
2009-07,1.38
2009-08,1.53
2009-09,1.69
2009-10,1.57
2009-11,1.87
2009-12,1.97
2010-01,1.75
2010-02,1.90
2010-03,2.26
2010-04,2.36
2010-05,1.79
2010-06,1.49
2010-07,1.81
2010-08,1.56
2010-09,2.00
2010-10,2.23
2010-11,2.21
2010-12,2.68
2011-01,2.86
2011-02,3.16
2011-03,3.13
2011-04,3.40
2011-05,3.27
2011-06,3.08
2011-07,2.88
2011-08,2.27
2011-09,1.80
2011-10,2.39
2011-11,2.31
2011-12,2.36
2012-01,2.69
2012-02,3.05
2012-03,3.33
2012-04,3.25
2012-05,2.69
2012-06,3.00
2012-07,3.10
2012-08,3.30
2012-09,3.55
2012-10,3.34
2012-11,3.38
2012-12,3.47
2013-01,4.00
2013-02,4.15
2013-03,4.60
2013-04,4.86
2013-05,5.19
2013-06,4.91
2013-07,5.72
2013-08,5.19
2013-09,5.69
2013-10,6.48
2013-11,7.05
2013-12,7.58
2014-01,6.77
2014-02,7.69
2014-03,7.86
2014-04,7.99
2014-05,8.52
2014-06,9.05
2014-07,8.65
2014-08,9.68
2014-09,9.25
2014-10,9.81
2014-11,10.63
2014-12,10.46
2015-01,9.47
2015-02,11.13
2015-03,10.54
2015-04,10.81
2015-05,11.19
2015-06,10.49
2015-07,11.14
2015-08,9.04
2015-09,8.26
2015-10,10.47
2015-11,10.55
2015-12,9.92
2016-01,8.39
2016-02,8.25
2016-03,10.02
2016-04,10.10
2016-05,10.57
2016-06,10.55
2016-07,11.73
2016-08,11.74
2016-09,11.68
2016-10,11.02
2016-11,12.24
2016-12,12.97
2017-01,13.63
2017-02,15.26
2017-03,15.22
2017-04,15.65
2017-05,16.22
2017-06,16.47
2017-07,17.44
2017-08,17.47
2017-09,18.47
2017-10,19.73
2017-11,21.48
2017-12,22.22
2018-01,26.27
2018-02,22.72
2018-03,20.74
2018-04,20.71
2018-05,22.05
2018-06,22.34
2018-07,24.73
2018-08,26.98
2018-09,27.30
2018-10,21.63
2018-11,22.56
2018-12,16.64
2019-01,20.62
2019-02,22.53
2019-03,23.62
2019-04,26.42
2019-05,21.42
2019-06,26.00
2019-07,26.99
2019-08,25.20
2019-09,26.54
2019-10,28.05
2019-11,31.06
2019-12,33.67
2020-01,33.36
2020-02,25.67
2020-03,13.32
2020-04,18.27
2020-05,20.71
2020-06,21.38
2020-07,25.17
2020-08,30.72
2020-09,26.95
2020-10,24.67
2020-11,33.35
2020-12,37.06
2021-01,35.69
2021-02,38.45
2021-03,43.58
2021-04,50.62
2021-05,51.31
2021-06,54.70
2021-07,58.49
2021-08,63.74
2021-09,54.85
2021-10,66.86
2021-11,65.05
2021-12,73.62
2022-01,61.92
2022-02,55.82
2022-03,61.45
2022-04,45.83
2022-05,44.86
2022-06,33.67
2022-07,43.31
2022-08,37.54
2022-09,27.43
2022-10,33.76
2022-11,38.62
2022-12,31.77
2023-01,37.53
2023-02,34.25
2023-03,37.48
2023-04,38.83
2023-05,38.77
2023-06,46.19
2023-07,50.32
2023-08,47.12
2023-09,40.18
2023-10,37.01
2023-11,47.42
2023-12,53.55
2024-01,55.39
2024-02,63.52
2024-03,69.14
2024-04,60.17
2024-05,68.76
2024-06,75.52
2024-07,76.88
2024-08,80.78
2024-09,84.92
2024-10,81.45
2024-11,95.62
2024-12,87.58
2025-01,93.44
2025-02,88.78
2025-03,73.19
2025-04,66.82
2025-05,79.01
2025-06,90.80
2025-07,96.16
2025-08,100.92
2025-09,110.92
2025-10,117.34
2025-11,116.54
2025-12,115.50
2026-01,119.34
2026-02,115.05
2026-03,96.98
2026-04,129.18
2026-05,149.18
