date,price
2006-05,33.16
2006-06,33.10
2006-07,33.18
2006-08,33.93
2006-09,34.69
2006-10,35.64
2006-11,35.93
2006-12,36.51
2007-01,37.08
2007-02,36.43
2007-03,36.54
2007-04,38.16
2007-05,39.10
2007-06,38.48
2007-07,37.51
2007-08,38.37
2007-09,39.68
2007-10,39.55
2007-11,38.75
2007-12,38.56
2008-01,36.53
2008-02,35.96
2008-03,36.69
2008-04,37.63
2008-05,37.76
2008-06,34.79
2008-07,35.16
2008-08,35.89
2008-09,33.48
2008-10,28.76
2008-11,28.02
2008-12,28.27
2009-01,26.11
2009-02,23.37
2009-03,25.01
2009-04,26.84
2009-05,28.16
2009-06,28.30
2009-07,30.16
2009-08,30.89
2009-09,31.86
2009-10,31.72
2009-11,33.56
2009-12,33.80
2010-01,33.03
2010-02,33.83
2010-03,35.39
2010-04,36.16
2010-05,33.54
2010-06,32.08
2010-07,34.13
2010-08,32.96
2010-09,35.70
2010-10,36.71
2010-11,36.82
2010-12,38.79
2011-01,39.34
2011-02,40.68
2011-03,41.11
2011-04,42.55
2011-05,42.01
2011-06,41.68
2011-07,40.24
2011-08,38.95
2011-09,36.52
2011-10,40.02
2011-11,40.77
2011-12,41.18
2012-01,42.25
2012-02,43.42
2012-03,44.33
2012-04,44.17
2012-05,42.24
2012-06,43.16
2012-07,44.01
2012-08,44.84
2012-09,45.68
2012-10,45.11
2012-11,45.76
2012-12,45.98
2013-01,48.70
2013-02,49.26
2013-03,50.93
2013-04,51.79
2013-05,52.38
2013-06,51.59
2013-07,54.38
2013-08,52.44
2013-09,54.52
2013-10,56.79
2013-11,58.11
2013-12,59.25
2014-01,56.28
2014-02,59.04
2014-03,59.50
2014-04,60.10
2014-05,61.07
2014-06,61.98
2014-07,59.92
2014-08,62.11
2014-09,61.49
2014-10,63.12
2014-11,65.14
2014-12,65.22
2015-01,63.02
2015-02,66.54
2015-03,65.03
2015-04,64.89
2015-05,65.52
2015-06,63.86
2015-07,65.24
2015-08,61.41
2015-09,60.28
2015-10,64.34
2015-11,64.52
2015-12,63.96
2016-01,62.49
2016-02,63.20
2016-03,67.17
2016-04,66.94
2016-05,67.58
2016-06,69.18
2016-07,70.77
2016-08,70.78
2016-09,70.09
2016-10,68.73
2016-11,70.78
2016-12,71.61
2017-01,72.87
2017-02,76.02
2017-03,75.97
2017-04,77.27
2017-05,78.49
2017-06,78.71
2017-07,79.28
2017-08,78.99
2017-09,80.87
2017-10,82.57
2017-11,86.27
2017-12,87.52
2018-01,91.91
2018-02,88.20
2018-03,87.03
2018-04,86.22
2018-05,87.74
2018-06,88.01
2018-07,92.13
2018-08,94.71
2018-09,96.30
2018-10,90.18
2018-11,93.91
2018-12,85.69
2019-01,91.11
2019-02,95.28
2019-03,96.37
2019-04,99.96
2019-05,95.33
2019-06,101.65
2019-07,103.91
2019-08,104.52
2019-09,106.04
2019-10,106.06
2019-11,108.66
2019-12,111.08
2020-01,111.71
2020-02,102.39
2020-03,92.57
2020-04,101.71
2020-05,105.37
2020-06,105.47
2020-07,110.72
2020-08,117.54
2020-09,116.31
2020-10,113.67
2020-11,125.07
2020-12,128.22
2021-01,124.48
2021-02,126.44
2021-03,134.06
2021-04,139.47
2021-05,141.92
2021-06,141.73
2021-07,146.24
2021-08,148.69
2021-09,141.26
2021-10,151.06
2021-11,148.98
2021-12,158.69
2022-01,150.27
2022-02,146.06
2022-03,150.47
2022-04,142.77
2022-05,142.67
2022-06,133.80
2022-07,142.89
2022-08,137.96
2022-09,126.67
2022-10,139.29
2022-11,148.69
2022-12,143.14
2023-01,147.29
2023-02,143.26
2023-03,145.91
2023-04,149.28
2023-05,145.19
2023-06,154.63
2023-07,158.27
2023-08,155.27
2023-09,148.65
2023-10,146.47
2023-11,157.41
2023-12,163.91
2024-01,165.92
2024-02,171.59
2024-03,176.40
2024-04,169.12
2024-05,174.75
2024-06,177.21
2024-07,184.24
2024-08,190.35
2024-09,193.08
2024-10,189.31
2024-11,199.53
2024-12,191.76
2025-01,198.01
2025-02,198.90
2025-03,190.87
2025-04,187.96
2025-05,194.75
2025-06,202.24
2025-07,203.62
2025-08,208.42
2025-09,214.09
2025-10,215.35
2025-11,220.92
2025-12,218.93
2026-01,223.15
2026-02,226.81
2026-03,215.06
2026-04,228.71
2026-05,234.65
2026-06,233.28
