date,price
2008-03,13.70
2008-04,18.34
2008-05,18.98
2008-06,17.87
2008-07,16.06
2008-08,16.70
2008-09,13.51
2008-10,12.18
2008-11,11.59
2008-12,11.57
2009-01,10.88
2009-02,12.53
2009-03,12.28
2009-04,14.35
2009-05,14.98
2009-06,13.78
2009-07,14.49
2009-08,15.76
2009-09,15.32
2009-10,16.79
2009-11,17.98
2009-12,19.41
2010-01,18.21
2010-02,18.96
2010-03,20.24
2010-04,20.06
2010-05,16.13
2010-06,15.75
2010-07,16.33
2010-08,15.38
2010-09,16.56
2010-10,17.43
2010-11,16.50
2010-12,15.73
2011-01,15.61
2011-02,16.36
2011-03,16.48
2011-04,17.49
2011-05,18.18
2011-06,18.90
2011-07,19.19
2011-08,19.75
2011-09,19.26
2011-10,20.96
2011-11,21.84
2011-12,22.87
2012-01,22.67
2012-02,26.26
2012-03,26.63
2012-04,27.75
2012-05,26.05
2012-06,27.95
2012-07,29.18
2012-08,29.05
2012-09,30.41
2012-10,31.43
2012-11,33.98
2012-12,34.41
2013-01,35.85
2013-02,36.09
2013-03,38.63
2013-04,38.32
2013-05,40.60
2013-06,41.65
2013-07,40.34
2013-08,39.82
2013-09,43.63
2013-10,44.90
2013-11,46.55
2013-12,50.94
2014-01,49.29
2014-02,51.78
2014-03,49.47
2014-04,46.44
2014-05,49.33
2014-06,48.38
2014-07,48.45
2014-08,48.89
2014-09,49.09
2014-10,55.54
2014-11,59.51
2014-12,60.44
2015-01,58.76
2015-02,62.65
2015-03,60.42
2015-04,61.01
2015-05,63.55
2015-06,62.13
2015-07,69.71
2015-08,66.08
2015-09,64.56
2015-10,71.90
2015-11,73.36
2015-12,72.00
2016-01,69.16
2016-02,67.35
2016-03,71.15
2016-04,71.86
2016-05,73.57
2016-06,69.12
2016-07,72.74
2016-08,75.53
2016-09,77.21
2016-10,77.03
2016-11,72.34
2016-12,72.99
2017-01,77.38
2017-02,82.43
2017-03,83.30
2017-04,85.50
2017-05,89.42
2017-06,88.06
2017-07,93.49
2017-08,97.36
2017-09,98.98
2017-10,103.44
2017-11,106.08
2017-12,107.43
2018-01,117.05
2018-02,116.03
2018-03,112.90
2018-04,119.75
2018-05,123.57
2018-06,125.21
2018-07,129.26
2018-08,139.07
2018-09,142.10
2018-10,130.51
2018-11,134.40
2018-12,125.14
2019-01,128.05
2019-02,140.73
2019-03,148.40
2019-04,156.23
2019-05,153.52
2019-06,165.14
2019-07,169.38
2019-08,172.31
2019-09,163.92
2019-10,170.44
2019-11,176.12
2019-12,179.36
2020-01,189.92
2020-02,173.75
2020-03,154.02
2020-04,170.84
2020-05,186.95
2020-06,184.96
2020-07,182.31
2020-08,203.29
2020-09,191.76
2020-10,174.25
2020-11,202.02
2020-12,210.07
2021-01,185.60
2021-02,204.30
2021-03,203.66
2021-04,224.66
2021-05,218.96
2021-06,225.24
2021-07,237.35
2021-08,220.99
2021-09,214.87
2021-10,204.28
2021-11,187.24
2021-12,209.41
2022-01,218.55
2022-02,209.18
2022-03,214.65
2022-04,206.29
2022-05,205.75
2022-06,190.93
2022-07,205.69
2022-08,193.04
2022-09,172.58
2022-10,201.25
2022-11,211.28
2022-12,202.28
2023-01,224.14
2023-02,214.56
2023-03,219.94
2023-04,227.03
2023-05,216.04
2023-06,232.12
2023-07,232.36
2023-08,240.59
2023-09,225.24
2023-10,230.23
2023-11,251.89
2023-12,255.50
2024-01,268.16
2024-02,277.89
2024-03,274.39
2024-04,264.09
2024-05,268.37
2024-06,258.53
2024-07,261.69
2024-08,272.77
2024-09,271.37
2024-10,286.08
2024-11,311.57
2024-12,312.52
2025-01,337.99
2025-02,359.27
2025-03,347.14
2025-04,342.22
2025-05,362.33
2025-06,352.27
2025-07,342.76
2025-08,349.64
2025-09,339.30
2025-10,338.66
2025-11,333.06
2025-12,349.26
2026-01,320.50
2026-02,319.48
2026-03,301.61
2026-04,329.16
2026-05,326.36
