date,price
2010-09,79.26
2010-10,82.25
2010-11,82.16
2010-12,87.85
2011-01,89.80
2011-02,92.91
2011-03,92.92
2011-04,95.64
2011-05,94.53
2011-06,92.94
2011-07,91.03
2011-08,86.01
2011-09,80.17
2011-10,88.78
2011-11,88.52
2011-12,89.51
2012-01,93.52
2012-02,97.52
2012-03,100.74
2012-04,100.10
2012-05,94.09
2012-06,97.98
2012-07,99.16
2012-08,101.65
2012-09,104.24
2012-10,102.20
2012-11,102.79
2012-12,103.83
2013-01,109.20
2013-02,110.65
2013-03,114.64
2013-04,117.04
2013-05,119.76
2013-06,117.96
2013-07,124.22
2013-08,120.39
2013-09,124.47
2013-10,130.03
2013-11,133.93
2013-12,137.46
2014-01,132.61
2014-02,138.66
2014-03,139.88
2014-04,140.89
2014-05,144.13
2014-06,147.14
2014-07,145.11
2014-08,150.88
2014-09,148.79
2014-10,152.37
2014-11,156.57
2014-12,155.23
2015-01,150.77
2015-02,159.18
2015-03,156.68
2015-04,158.26
2015-05,160.23
2015-06,157.11
2015-07,160.53
2015-08,150.68
2015-09,146.97
2015-10,159.39
2015-11,160.07
2015-12,157.28
2016-01,149.56
2016-02,149.25
2016-03,159.51
2016-04,160.07
2016-05,162.87
2016-06,163.40
2016-07,169.42
2016-08,169.62
2016-09,169.67
2016-10,166.63
2016-11,172.84
2016-12,176.42
2017-01,179.57
2017-02,186.53
2017-03,186.77
2017-04,188.71
2017-05,191.36
2017-06,192.57
2017-07,196.54
2017-08,197.11
2017-09,201.14
2017-10,205.82
2017-11,212.11
2017-12,214.83
2018-01,226.83
2018-02,218.38
2018-03,212.99
2018-04,213.73
2018-05,218.90
2018-06,220.56
2018-07,228.41
2018-08,235.77
2018-09,237.13
2018-10,220.91
2018-11,225.08
2018-12,205.16
2019-01,221.41
2019-02,228.61
2019-03,233.01
2019-04,242.41
2019-05,227.02
2019-06,242.89
2019-07,246.44
2019-08,242.40
2019-09,247.18
2019-10,252.57
2019-11,261.73
2019-12,269.51
2020-01,269.41
2020-02,247.59
2020-03,216.79
2020-04,244.51
2020-05,256.09
2020-06,260.81
2020-07,276.14
2020-08,295.39
2020-09,284.30
2020-10,277.06
2020-11,307.39
2020-12,318.90
2021-01,315.64
2021-02,324.38
2021-03,339.22
2021-04,357.16
2021-05,359.54
2021-06,367.67
2021-07,376.67
2021-08,387.78
2021-09,369.70
2021-10,395.72
2021-11,392.81
2021-12,410.73
2022-01,389.20
2022-02,377.60
2022-03,391.91
2022-04,357.48
2022-05,358.41
2022-06,328.79
2022-07,359.03
2022-08,344.21
2022-09,312.55
2022-10,337.92
2022-11,356.52
2022-12,336.08
2023-01,357.22
2023-02,348.30
2023-03,361.22
2023-04,366.96
2023-05,368.73
2023-06,392.73
2023-07,405.66
2023-08,399.05
2023-09,380.12
2023-10,371.86
2023-11,405.96
2023-12,424.55
2024-01,431.38
2024-02,453.84
2024-03,468.72
2024-04,449.93
2024-05,472.55
2024-06,489.40
2024-07,495.08
2024-08,506.93
2024-09,517.96
2024-10,513.05
2024-11,543.27
2024-12,530.59
2025-01,544.89
2025-02,537.99
2025-03,507.82
2025-04,503.70
2025-05,535.34
2025-06,563.03
2025-07,575.91
2025-08,587.86
2025-09,608.73
2025-10,623.30
2025-11,624.66
2025-12,625.16
2026-01,634.22
2026-02,629.05
2026-03,597.55
2026-04,660.58
2026-05,695.49
