date,price
2001-06,36.55
2001-07,35.85
2001-08,33.75
2001-09,30.82
2001-10,31.45
2001-11,33.85
2001-12,34.33
2002-01,34.03
2002-02,33.44
2002-03,34.67
2002-04,33.12
2002-05,32.65
2002-06,30.40
2002-07,27.87
2002-08,28.08
2002-09,25.24
2002-10,27.13
2002-11,28.76
2002-12,27.30
2003-01,26.55
2003-02,26.14
2003-03,26.33
2003-04,28.60
2003-05,30.27
2003-06,30.76
2003-07,31.47
2003-08,32.23
2003-09,31.89
2003-10,33.82
2003-11,34.32
2003-12,35.70
2004-01,36.63
2004-02,37.14
2004-03,36.76
2004-04,35.94
2004-05,36.46
2004-06,37.20
2004-07,35.88
2004-08,35.90
2004-09,36.51
2004-10,37.16
2004-11,38.92
2004-12,40.26
2005-01,39.25
2005-02,40.07
2005-03,39.32
2005-04,38.45
2005-05,39.95
2005-06,40.25
2005-07,42.01
2005-08,41.56
2005-09,41.88
2005-10,40.90
2005-11,42.79
2005-12,42.80
2006-01,44.17
2006-02,44.27
2006-03,45.18
2006-04,45.61
2006-05,44.14
2006-06,44.20
2006-07,44.15
2006-08,45.16
2006-09,46.18
2006-10,47.81
2006-11,48.93
2006-12,49.51
2007-01,50.44
2007-02,49.62
2007-03,50.17
2007-04,52.19
2007-05,54.13
2007-06,53.18
2007-07,51.30
2007-08,52.05
2007-09,54.06
2007-10,55.03
2007-11,52.54
2007-12,52.17
2008-01,48.96
2008-02,47.73
2008-03,47.31
2008-04,49.62
2008-05,50.62
2008-06,46.51
2008-07,46.22
2008-08,46.89
2008-09,42.56
2008-10,35.12
2008-11,32.31
2008-12,32.88
2009-01,30.23
2009-02,27.05
2009-03,29.29
2009-04,32.50
2009-05,34.28
2009-06,34.41
2009-07,37.07
2009-08,38.44
2009-09,40.03
2009-10,38.98
2009-11,41.20
2009-12,42.38
2010-01,40.87
2010-02,42.27
2010-03,44.98
2010-04,45.96
2010-05,42.34
2010-06,39.86
2010-07,42.66
2010-08,40.65
2010-09,44.50
2010-10,46.29
2010-11,46.53
2010-12,49.76
2011-01,50.78
2011-02,52.66
2011-03,52.88
2011-04,54.41
2011-05,53.84
2011-06,52.87
2011-07,51.67
2011-08,48.52
2011-09,44.85
2011-10,49.95
2011-11,49.76
2011-12,50.25
2012-01,52.79
2012-02,55.02
2012-03,56.71
2012-04,56.35
2012-05,52.84
2012-06,54.98
2012-07,55.46
2012-08,56.96
2012-09,58.38
2012-10,57.32
2012-11,57.77
2012-12,58.51
2013-01,61.68
2013-02,62.47
2013-03,64.94
2013-04,65.98
2013-05,67.59
2013-06,66.62
2013-07,70.45
2013-08,68.32
2013-09,70.98
2013-10,74.01
2013-11,76.01
2013-12,78.08
2014-01,75.61
2014-02,79.29
2014-03,79.69
2014-04,79.74
2014-05,81.42
2014-06,83.55
2014-07,81.89
2014-08,85.28
2014-09,83.50
2014-10,85.79
2014-11,87.92
2014-12,87.88
2015-01,85.48
2015-02,90.39
2015-03,89.34
2015-04,89.89
2015-05,91.05
2015-06,89.53
2015-07,91.05
2015-08,85.50
2015-09,83.00
2015-10,89.57
2015-11,90.11
2015-12,88.20
2016-01,83.15
2016-02,83.14
2016-03,89.05
2016-04,89.64
2016-05,91.19
2016-06,91.44
2016-07,95.08
2016-08,95.27
2016-09,95.46
2016-10,93.37
2016-11,97.56
2016-12,99.50
2017-01,101.35
2017-02,105.09
2017-03,105.15
2017-04,106.27
2017-05,107.34
2017-06,108.36
2017-07,110.40
2017-08,110.56
2017-09,113.26
2017-10,115.72
2017-11,119.22
2017-12,120.61
2018-01,126.92
2018-02,122.15
2018-03,119.75
2018-04,120.29
2018-05,123.56
2018-06,124.43
2018-07,128.56
2018-08,132.97
2018-09,133.23
2018-10,123.36
2018-11,125.84
2018-12,114.29
2019-01,124.06
2019-02,128.47
2019-03,130.29
2019-04,135.40
2019-05,126.67
2019-06,135.64
2019-07,137.55
2019-08,134.69
2019-09,137.08
2019-10,139.97
2019-11,145.27
2019-12,149.35
2020-01,149.26
2020-02,137.32
2020-03,118.25
2020-04,133.78
2020-05,141.00
2020-06,144.24
2020-07,152.52
2020-08,163.36
2020-09,157.58
2020-10,154.51
2020-11,172.75
2020-12,180.82
2021-01,180.22
2021-02,185.88
2021-03,192.66
2021-04,202.36
2021-05,203.28
2021-06,208.33
2021-07,211.95
2021-08,218.01
2021-09,208.27
2021-10,222.20
2021-11,218.96
2021-12,227.26
2022-01,213.49
2022-02,208.18
2022-03,214.97
2022-04,195.34
2022-05,194.85
2022-06,178.81
2022-07,195.52
2022-08,188.23
2022-09,170.86
2022-10,184.72
2022-11,194.27
2022-12,182.89
2023-01,195.56
2023-02,190.86
2023-03,196.03
2023-04,198.14
2023-05,198.99
2023-06,212.38
2023-07,220.16
2023-08,215.90
2023-09,205.54
2023-10,200.10
2023-11,218.94
2023-12,230.53
2024-01,233.11
2024-02,245.46
2024-03,253.46
2024-04,242.45
2024-05,253.99
2024-06,261.81
2024-07,266.76
2024-08,272.44
2024-09,277.98
2024-10,275.89
2024-11,294.37
2024-12,285.42
2025-01,294.08
2025-02,288.52
2025-03,271.63
2025-04,269.63
2025-05,286.49
2025-06,301.29
2025-07,308.19
2025-08,315.43
2025-09,326.22
2025-10,333.43
2025-11,334.31
2025-12,334.22
2026-01,339.51
2026-02,337.71
2026-03,320.81
2026-04,354.18
2026-05,372.54
