date,price
2000-01,11.60
2000-02,10.33
2000-03,11.98
2000-04,11.75
2000-05,12.22
2000-06,12.24
2000-07,11.73
2000-08,10.11
2000-09,10.23
2000-10,9.65
2000-11,11.09
2000-12,11.31
2001-01,12.09
2001-02,10.66
2001-03,10.76
2001-04,11.03
2001-05,11.03
2001-06,10.42
2001-07,11.93
2001-08,10.26
2001-09,10.58
2001-10,10.99
2001-11,11.79
2001-12,12.32
2002-01,12.84
2002-02,13.27
2002-03,13.14
2002-04,11.97
2002-05,11.59
2002-06,11.81
2002-07,10.55
2002-08,11.48
2002-09,10.58
2002-10,11.51
2002-11,11.58
2002-12,10.87
2003-01,10.29
2003-02,10.34
2003-03,11.22
2003-04,12.14
2003-05,11.34
2003-06,11.59
2003-07,12.07
2003-08,12.78
2003-09,12.06
2003-10,12.75
2003-11,12.03
2003-12,11.49
2004-01,11.67
2004-02,12.90
2004-03,12.96
2004-04,12.38
2004-05,12.13
2004-06,11.43
2004-07,11.54
2004-08,11.49
2004-09,11.61
2004-10,11.76
2004-11,11.36
2004-12,11.55
2005-01,11.46
2005-02,11.29
2005-03,10.99
2005-04,10.34
2005-05,10.39
2005-06,10.61
2005-07,10.86
2005-08,9.92
2005-09,9.67
2005-10,10.44
2005-11,10.72
2005-12,10.36
2006-01,10.21
2006-02,10.04
2006-03,10.50
2006-04,10.01
2006-05,10.81
2006-06,10.74
2006-07,9.92
2006-08,10.01
2006-09,11.04
2006-10,11.03
2006-11,10.32
2006-12,10.38
2007-01,10.72
2007-02,10.85
2007-03,10.60
2007-04,10.82
2007-05,10.80
2007-06,10.91
2007-07,10.42
2007-08,9.95
2007-09,9.95
2007-10,10.31
2007-11,10.92
2007-12,10.88
2008-01,11.62
2008-02,11.36
2008-03,12.12
2008-04,13.34
2008-05,13.34
2008-06,12.98
2008-07,13.54
2008-08,13.70
2008-09,13.89
2008-10,12.95
2008-11,12.96
2008-12,13.06
2009-01,10.98
2009-02,11.47
2009-03,12.21
2009-04,11.81
2009-05,11.72
2009-06,11.41
2009-07,11.75
2009-08,12.05
2009-09,11.63
2009-10,11.77
2009-11,12.92
2009-12,12.72
2010-01,12.72
2010-02,12.87
2010-03,13.31
2010-04,12.84
2010-05,12.17
2010-06,11.57
2010-07,12.33
2010-08,12.14
2010-09,12.96
2010-10,13.12
2010-11,13.10
2010-12,13.13
2011-01,13.65
2011-02,12.66
2011-03,12.76
2011-04,13.48
2011-05,13.63
2011-06,13.12
2011-07,13.01
2011-08,13.23
2011-09,12.90
2011-10,14.10
2011-11,14.64
2011-12,14.95
2012-01,15.35
2012-02,14.78
2012-03,15.41
2012-04,14.84
2012-05,16.69
2012-06,17.68
2012-07,18.87
2012-08,18.51
2012-09,18.82
2012-10,19.13
2012-11,18.36
2012-12,17.49
2013-01,17.93
2013-02,18.15
2013-03,19.31
2013-04,20.05
2013-05,19.43
2013-06,19.33
2013-07,20.23
2013-08,19.06
2013-09,19.31
2013-10,20.04
2013-11,21.15
2013-12,20.67
2014-01,19.62
2014-02,19.62
2014-03,20.20
2014-04,21.07
2014-05,20.42
2014-06,19.97
2014-07,19.57
2014-08,20.21
2014-09,20.47
2014-10,20.42
2014-11,23.44
2014-12,23.12
2015-01,22.88
2015-02,22.60
2015-03,22.28
2015-04,21.14
2015-05,20.24
2015-06,19.33
2015-07,19.62
2015-08,17.76
2015-09,17.79
2015-10,15.71
2015-11,16.15
2015-12,16.96
2016-01,18.36
2016-02,18.36
2016-03,19.09
2016-04,18.64
2016-05,19.88
2016-06,20.51
2016-07,20.49
2016-08,20.20
2016-09,20.39
2016-10,19.80
2016-11,19.91
2016-12,19.68
2017-01,19.00
2017-02,20.20
2017-03,20.68
2017-04,21.57
2017-05,22.70
2017-06,21.85
2017-07,23.10
2017-08,22.69
2017-09,22.71
2017-10,25.37
2017-11,28.25
2017-12,28.85
2018-01,31.14
2018-02,26.29
2018-03,26.14
2018-04,26.00
2018-05,24.41
2018-06,25.33
2018-07,26.39
