date,price
2017-11,0.25
2017-12,2.30
2018-01,1.16
2018-02,0.90
2018-03,0.51
2018-04,0.84
2018-05,0.61
2018-06,0.47
2018-07,0.44
2018-08,0.34
2018-09,0.58
2018-10,0.45
2018-11,0.36
2018-12,0.35
2019-01,0.31
2019-02,0.32
2019-03,0.31
2019-04,0.31
2019-05,0.44
2019-06,0.40
2019-07,0.32
2019-08,0.26
2019-09,0.26
2019-10,0.30
2019-11,0.23
2019-12,0.19
2020-01,0.24
2020-02,0.23
2020-03,0.17
2020-04,0.21
2020-05,0.20
2020-06,0.18
2020-07,0.26
2020-08,0.28
2020-09,0.24
2020-10,0.24
2020-11,0.66
2020-12,0.22
2021-01,0.49
2021-02,0.41
2021-03,0.57
2021-04,1.59
2021-05,1.05
2021-06,0.71
2021-07,0.75
2021-08,1.19
2021-09,0.95
2021-10,1.11
2021-11,1.00
2021-12,0.83
2022-01,0.62
2022-02,0.78
2022-03,0.81
2022-04,0.59
2022-05,0.42
2022-06,0.33
2022-07,0.38
2022-08,0.33
2022-09,0.48
2022-10,0.47
2022-11,0.41
2022-12,0.34
2023-01,0.41
2023-02,0.38
2023-03,0.54
2023-04,0.47
2023-05,0.52
2023-06,0.47
2023-07,0.70
2023-08,0.51
2023-09,0.52
2023-10,0.60
2023-11,0.61
2023-12,0.61
2024-01,0.50
2024-02,0.59
2024-03,0.63
2024-04,0.50
2024-05,0.52
2024-06,0.48
2024-07,0.62
2024-08,0.57
2024-09,0.61
2024-10,0.51
2024-11,1.94
2024-12,2.08
2025-01,3.04
2025-02,2.15
2025-03,2.09
2025-04,2.19
2025-05,2.18
2025-06,2.24
2025-07,3.03
2025-08,2.78
2025-09,2.85
2025-10,2.51
2025-11,2.16
2025-12,1.84
2026-01,1.65
2026-02,1.38
2026-03,1.34
2026-04,1.37
2026-05,1.34
