date,price
2016-05,1000000
2016-06,2800000
2016-07,4600000
2016-08,6400000
2016-09,8200000
2016-10,10000000
2016-11,11800000
2016-12,13600000
2017-01,15400000
2017-02,17200000
2017-03,19000000
2017-04,20800000
2017-05,22600000
2017-06,24400000
2017-07,26200000
2017-08,28000000
2017-09,29800000
2017-10,31600000
2017-11,33400000
2017-12,35200000
2018-01,37000000
2018-02,38800000
2018-03,40600000
2018-04,42400000
2018-05,44200000
2018-06,46000000
2018-07,47800000
2018-08,49600000
2018-09,51400000
2018-10,53200000
2018-11,55000000
2018-12,56800000
2019-01,58600000
2019-02,60400000
2019-03,62200000
2019-04,64000000
2019-05,65800000
2019-06,67600000
2019-07,69400000
2019-08,71200000
2019-09,73000000
2019-10,74800000
2019-11,76600000
2019-12,78400000
2020-01,80200000
2020-02,82000000
2020-03,83800000
2020-04,85600000
2020-05,87400000
2020-06,89200000
2020-07,91000000
2020-08,92800000
2020-09,94600000
2020-10,96400000
2020-11,98200000
2020-12,100000000
2021-01,101822222
2021-02,103644444
2021-03,105466667
2021-04,107288889
2021-05,109111111
2021-06,110933333
2021-07,112755556
2021-08,114577778
2021-09,116400000
2021-10,118222222
2021-11,120044444
2021-12,121866667
2022-01,123688889
2022-02,125511111
2022-03,127333333
2022-04,129155556
2022-05,130977778
2022-06,132800000
2022-07,134622222
2022-08,136444444
2022-09,138266667
2022-10,140088889
2022-11,141911111
2022-12,143733333
2023-01,145555556
2023-02,147377778
2023-03,149200000
2023-04,151022222
2023-05,152844444
2023-06,154666667
2023-07,156488889
2023-08,158311111
2023-09,160133333
2023-10,161955556
2023-11,163777778
2023-12,165600000
2024-01,167422222
2024-02,169244444
2024-03,171066667
2024-04,172888889
2024-05,174711111
2024-06,176533333
2024-07,178355556
2024-08,180177778
2024-09,182000000
2024-10,182947368
2024-11,183894737
2024-12,184842105
2025-01,185789474
2025-02,186736842
2025-03,187684211
2025-04,188631579
2025-05,189578947
2025-06,190526316
2025-07,191473684
2025-08,192421053
2025-09,193368421
2025-10,194315789
2025-11,195263158
2025-12,196210526
2026-01,197157895
2026-02,198105263
2026-03,199052632
2026-04,200000000
2026-05,200500000
2026-06,201000000
