date,price
2022-08,100000000
2022-09,100704348
2022-10,101408696
2022-11,102113043
2022-12,102817391
2023-01,103521739
2023-02,104226087
2023-03,104930435
2023-04,105634783
2023-05,106339130
2023-06,107043478
2023-07,107747826
2023-08,108452174
2023-09,109156522
2023-10,109860870
2023-11,110565217
2023-12,111269565
2024-01,111973913
2024-02,112678261
2024-03,113382609
2024-04,114086957
2024-05,114791304
2024-06,115495652
2024-07,116200000
2024-08,116904348
2024-09,117608696
2024-10,118313043
2024-11,119017391
2024-12,119721739
2025-01,120426087
2025-02,121130435
2025-03,121834783
2025-04,122539130
2025-05,123243478
2025-06,123947826
2025-07,124652174
2025-08,125356522
2025-09,126060870
2025-10,126765217
2025-11,127469565
2025-12,128173913
2026-01,128878261
2026-02,129582609
2026-03,130286957
2026-04,130991304
2026-05,131695652
2026-06,132400000
