date,price
2017-12,1000000
2018-01,1375000
2018-02,1750000
2018-03,2125000
2018-04,2500000
2018-05,2875000
2018-06,3250000
2018-07,3625000
2018-08,4000000
2018-09,4375000
2018-10,4750000
2018-11,5125000
2018-12,5500000
2019-01,5875000
2019-02,6250000
2019-03,6625000
2019-04,7000000
2019-05,7375000
2019-06,7750000
2019-07,8125000
2019-08,8500000
2019-09,8875000
2019-10,9250000
2019-11,9625000
2019-12,10000000
2020-01,11666667
2020-02,13333333
2020-03,15000000
2020-04,16666667
2020-05,18333333
2020-06,20000000
2020-07,21666667
2020-08,23333333
2020-09,25000000
2020-10,26666667
2020-11,28333333
2020-12,30000000
2021-01,31666667
2021-02,33333333
2021-03,35000000
2021-04,36666667
2021-05,38333333
2021-06,40000000
2021-07,41666667
2021-08,43333333
2021-09,45000000
2021-10,46666667
2021-11,48333333
2021-12,50000000
2022-01,57142857
2022-02,64285714
2022-03,71428571
2022-04,78571429
2022-05,85714286
2022-06,92857143
2022-07,100000000
2022-08,106666667
2022-09,113333333
2022-10,120000000
2022-11,126666667
2022-12,133333333
2023-01,140000000
2023-02,146666667
2023-03,153333333
2023-04,160000000
2023-05,166666667
2023-06,173333333
2023-07,180000000
2023-08,186666667
2023-09,193333333
2023-10,200000000
2023-11,208375000
2023-12,216750000
2024-01,225125000
2024-02,233500000
2024-03,241875000
2024-04,250250000
2024-05,258625000
2024-06,267000000
2024-07,300000000
2024-08,309090909
2024-09,318181818
2024-10,327272727
2024-11,336363636
2024-12,345454545
2025-01,354545455
2025-02,363636364
2025-03,372727273
2025-04,381818182
2025-05,390909091
2025-06,400000000
2025-07,408500000
2025-08,417000000
2025-09,425500000
2025-10,434000000
2025-11,442500000
2025-12,451000000
2026-01,459500000
2026-02,468000000
2026-03,476500000
2026-04,485000000
2026-05,493500000
2026-06,502000000
