date,price
2012-07,1000000
2012-08,1571429
2012-09,2142857
2012-10,2714286
2012-11,3285714
2012-12,3857143
2013-01,4428571
2013-02,5000000
2013-03,6000000
2013-04,7000000
2013-05,8000000
2013-06,9000000
2013-07,10000000
2013-08,11666667
2013-09,13333333
2013-10,15000000
2013-11,16666667
2013-12,18333333
2014-01,20000000
2014-02,20857143
2014-03,21714286
2014-04,22571429
2014-05,23428571
2014-06,24285714
2014-07,25142857
2014-08,26000000
2014-09,26857143
2014-10,27714286
2014-11,28571429
2014-12,29428571
2015-01,30285714
2015-02,31142857
2015-03,32000000
2015-04,32857143
2015-05,33714286
2015-06,34571429
2015-07,35428571
2015-08,36285714
2015-09,37142857
2015-10,38000000
2015-11,38857143
2015-12,39714286
2016-01,40571429
2016-02,41428571
2016-03,42285714
2016-04,43142857
2016-05,44000000
2016-06,44857143
2016-07,45714286
2016-08,46571429
2016-09,47428571
2016-10,48285714
2016-11,49142857
2016-12,50000000
2017-01,51562500
2017-02,53125000
2017-03,54687500
2017-04,56250000
2017-05,57812500
2017-06,59375000
2017-07,60937500
2017-08,62500000
2017-09,64062500
2017-10,65625000
2017-11,67187500
2017-12,68750000
2018-01,70312500
2018-02,71875000
2018-03,73437500
2018-04,75000000
2018-05,76562500
2018-06,78125000
2018-07,79687500
2018-08,81250000
2018-09,82812500
2018-10,84375000
2018-11,85937500
2018-12,87500000
2019-01,89062500
2019-02,90625000
2019-03,92187500
2019-04,93750000
2019-05,95312500
2019-06,96875000
2019-07,98437500
2019-08,100000000
2019-09,100123457
2019-10,100246914
2019-11,100370370
2019-12,100493827
2020-01,100617284
2020-02,100740741
2020-03,100864198
2020-04,100987654
2020-05,101111111
2020-06,101234568
2020-07,101358025
2020-08,101481481
2020-09,101604938
2020-10,101728395
2020-11,101851852
2020-12,101975309
2021-01,102098765
2021-02,102222222
2021-03,102345679
2021-04,102469136
2021-05,102592593
2021-06,102716049
2021-07,102839506
2021-08,102962963
2021-09,103086420
2021-10,103209877
2021-11,103333333
2021-12,103456790
2022-01,103580247
2022-02,103703704
2022-03,103827160
2022-04,103950617
2022-05,104074074
2022-06,104197531
2022-07,104320988
2022-08,104444444
2022-09,104567901
2022-10,104691358
2022-11,104814815
2022-12,104938272
2023-01,105061728
2023-02,105185185
2023-03,105308642
2023-04,105432099
2023-05,105555556
2023-06,105679012
2023-07,105802469
2023-08,105925926
2023-09,106049383
2023-10,106172840
2023-11,106296296
2023-12,106419753
2024-01,106543210
2024-02,106666667
2024-03,106790123
2024-04,106913580
2024-05,107037037
2024-06,107160494
2024-07,107283951
2024-08,107407407
2024-09,107530864
2024-10,107654321
2024-11,107777778
2024-12,107901235
2025-01,108024691
2025-02,108148148
2025-03,108271605
2025-04,108395062
2025-05,108518519
2025-06,108641975
2025-07,108765432
2025-08,108888889
2025-09,109012346
2025-10,109135802
2025-11,109259259
2025-12,109382716
2026-01,109506173
2026-02,109629630
2026-03,109753086
2026-04,109876543
2026-05,110000000
