date,price
2016-04,10000000
2016-05,11379310
2016-06,12758621
2016-07,14137931
2016-08,15517241
2016-09,16896552
2016-10,18275862
2016-11,19655172
2016-12,21034483
2017-01,22413793
2017-02,23793103
2017-03,25172414
2017-04,26551724
2017-05,27931034
2017-06,29310345
2017-07,30689655
2017-08,32068966
2017-09,33448276
2017-10,34827586
2017-11,36206897
2017-12,37586207
2018-01,38965517
2018-02,40344828
2018-03,41724138
2018-04,43103448
2018-05,44482759
2018-06,45862069
2018-07,47241379
2018-08,48620690
2018-09,50000000
2018-10,56250000
2018-11,62500000
2018-12,68750000
2019-01,75000000
2019-02,81250000
2019-03,87500000
2019-04,93750000
2019-05,100000000
2019-06,103225806
2019-07,106451613
2019-08,109677419
2019-09,112903226
2019-10,116129032
2019-11,119354839
2019-12,122580645
2020-01,125806452
2020-02,129032258
2020-03,132258065
2020-04,135483871
2020-05,138709677
2020-06,141935484
2020-07,145161290
2020-08,148387097
2020-09,151612903
2020-10,154838710
2020-11,158064516
2020-12,161290323
2021-01,164516129
2021-02,167741935
2021-03,170967742
2021-04,174193548
2021-05,177419355
2021-06,180645161
2021-07,183870968
2021-08,187096774
2021-09,190322581
2021-10,193548387
2021-11,196774194
2021-12,200000000
2022-01,202074074
2022-02,204148148
2022-03,206222222
2022-04,208296296
2022-05,210370370
2022-06,212444444
2022-07,214518519
2022-08,216592593
2022-09,218666667
2022-10,220740741
2022-11,222814815
2022-12,224888889
2023-01,226962963
2023-02,229037037
2023-03,231111111
2023-04,233185185
2023-05,235259259
2023-06,237333333
2023-07,239407407
2023-08,241481481
2023-09,243555556
2023-10,245629630
2023-11,247703704
2023-12,249777778
2024-01,251851852
2024-02,253925926
2024-03,256000000
2024-04,258074074
2024-05,260148148
2024-06,262222222
2024-07,264296296
2024-08,266370370
2024-09,268444444
2024-10,270518519
2024-11,272592593
2024-12,274666667
2025-01,276740741
2025-02,278814815
2025-03,280888889
2025-04,282962963
2025-05,285037037
2025-06,287111111
2025-07,289185185
2025-08,291259259
2025-09,293333333
2025-10,295407407
2025-11,297481481
2025-12,299555556
2026-01,301629630
2026-02,303703704
2026-03,305777778
2026-04,307851852
2026-05,309925926
2026-06,312000000
