date,price
2023-08,100000000
2023-09,101740741
2023-10,103481481
2023-11,105222222
2023-12,106962963
2024-01,108703704
2024-02,110444444
2024-03,112185185
2024-04,113925926
2024-05,115666667
2024-06,117407407
2024-07,119148148
2024-08,120888889
2024-09,122629630
2024-10,124370370
2024-11,126111111
2024-12,127851852
2025-01,129592593
2025-02,131333333
2025-03,133074074
2025-04,134814815
2025-05,136555556
2025-06,138296296
2025-07,140037037
2025-08,141777778
2025-09,143518519
2025-10,145259259
2025-11,147000000
2025-12,147457143
2026-01,147914286
2026-02,148371429
2026-03,148828571
2026-04,149285714
2026-05,149742857
2026-06,150200000
